%-------
%
% South Pole SPO (90S).
% Replicate sample mean Siemens CO2 values.
% Aspirated and Non-aspirated
%
% ************************************************************
%    From archive dated 08-Nov-2018 17:00:58
% ************************************************************
%
% This files contains the average of flask replicates collected on a given day.
% Flasks identified as outliers during workup or that are more than 0.25ppm from sample
% mean are flagged as outliers and excluded from average
%
% COLUMN DEFINITIONS:
% Columns 1 and 2 are the sampling date and time (UTC). 
%
% Column 3 is the Siemens CO2 replicate mean value in ppm
%
% Column 4 is the standard deviation of the retained replications
%
% Column 5 is the number of retained replicates
%
% Columns 6 and 7 are the dates Excel and decimal formats. 
%
% Column 8 is a flag for identifying uncertainty in the reported sampling time.
%   All sampling date/times are nominally corrected to UTC. But in some cases
%   the relevant correction is uncertain due to incomplete information on the
%   original sample log sheets. In this case Column 8 gives the (assumed)
%   correction applied (in hours). The flag is otherwise set to"UTC" indicating
%   that the time is not uncertain.
%
% Column 9 is a 3-letter station identifier.
%
% Column 10 is the value of a stiff spline fitted through the data
%
% Column 11 is the difference between the data and the stiff spline
%
%     Date,  Time,   Value,    StD, N,    T-Excel, T-Decimal,Zone, Sta,  Spline, Val-Spl
%-------
1991-11-13, 04:47,  353.76,   0.04, 3, 33555.1993, 1991.8663, UTC, SPO,  353.37,    0.40
1991-12-14, 19:40,  353.63,   0.00, 2, 33586.8194, 1991.9529, UTC, SPO,  353.45,    0.18
1992-01-03, 20:15,  353.44,   0.00, 1, 33606.8438, 1992.0078, UTC, SPO,  353.51,   -0.07
1992-11-17, 04:05,  354.94,   0.05, 3, 33925.1701, 1992.8775, UTC, SPO,  354.42,    0.52
1992-12-21, 06:52,  354.67,   0.04, 2, 33959.2861, 1992.9707, UTC, SPO,  354.50,    0.17
1993-01-29, 00:29,  354.42,   0.04, 2, 33998.0201, 1993.0768, UTC, SPO,  354.60,   -0.17
1993-04-15, 04:30,  354.29,   0.00, 2, 34074.1875, 1993.2854, UTC, SPO,  354.79,   -0.50
1993-05-18, 23:45,  354.48,   0.00, 2, 34107.9896, 1993.3781, UTC, SPO,  354.88,   -0.40
1993-06-17, 12:43,  354.63,   0.00, 2, 34137.5299, 1993.4590, UTC, SPO,  354.96,   -0.33
1993-07-20, 00:23,  355.14,   0.02, 3, 34170.0160, 1993.5480, UTC, SPO,  355.05,    0.09
1993-08-16, 08:20,  355.60,   0.04, 3, 34197.3472, 1993.6229, UTC, SPO,  355.14,    0.46
1993-09-16, 23:33,  355.94,   0.02, 3, 34228.9812, 1993.7095, UTC, SPO,  355.24,    0.70
1993-10-17, 07:10,  355.93,   0.00, 2, 34259.2986, 1993.7926, UTC, SPO,  355.34,    0.59
1993-11-01, 00:11,  355.88,   0.02, 3, 34274.0076, 1993.8329, UTC, SPO,  355.39,    0.49
1993-11-17, 22:03,  355.78,   0.04, 3, 34290.9187, 1993.8792, UTC, SPO,  355.45,    0.33
1993-12-06, 10:59,  355.67,   0.00, 3, 34309.4576, 1993.9300, UTC, SPO,  355.52,    0.15
1993-12-18, 07:06,  355.62,   0.04, 2, 34321.2958, 1993.9625, UTC, SPO,  355.57,    0.05
1994-01-04, 05:25,  355.45,   0.00, 2, 34338.2257, 1994.0088, UTC, SPO,  355.64,   -0.19
1994-01-19, 11:13,  355.42,   0.02, 3, 34353.4674, 1994.0506, UTC, SPO,  355.70,   -0.28
