%-------
%
% Alert Canada ALT (82N 63W).
% Replicate sample mean Siemens CO2 values.
% Aspirated and Non-aspirated
%
% ************************************************************
%    From archive dated 08-Nov-2018 17:00:58
% ************************************************************
%
% This files contains the average of flask replicates collected on a given day.
% Flasks identified as outliers during workup or that are more than 0.25ppm from sample
% mean are flagged as outliers and excluded from average
%
% COLUMN DEFINITIONS:
% Columns 1 and 2 are the sampling date and time (UTC). 
%
% Column 3 is the Siemens CO2 replicate mean value in ppm
%
% Column 4 is the standard deviation of the retained replications
%
% Column 5 is the number of retained replicates
%
% Columns 6 and 7 are the dates Excel and decimal formats. 
%
% Column 8 is a flag for identifying uncertainty in the reported sampling time.
%   All sampling date/times are nominally corrected to UTC. But in some cases
%   the relevant correction is uncertain due to incomplete information on the
%   original sample log sheets. In this case Column 8 gives the (assumed)
%   correction applied (in hours). The flag is otherwise set to"UTC" indicating
%   that the time is not uncertain.
%
% Column 9 is a 3-letter station identifier.
%
% Column 10 is the value of a stiff spline fitted through the data
%
% Column 11 is the difference between the data and the stiff spline
%
%     Date,  Time,   Value,    StD, N,    T-Excel, T-Decimal,Zone, Sta,  Spline, Val-Spl
%-------
1989-11-27, 23:13,  355.85,   0.00, 2, 32839.9674, 1989.9068, UTC, ALT,  356.10,   -0.25
1989-12-08, 19:07,  359.45,   0.15, 3, 32850.7965, 1989.9364, UTC, ALT,  356.12,    3.34
1991-04-27, 20:14,  361.42,   0.08, 2, 33355.8431, 1991.3201, UTC, ALT,  357.14,    4.28
1991-05-04, 19:08,  361.54,   0.06, 6, 33362.7976, 1991.3392, UTC, ALT,  357.16,    4.38
1991-05-20, 16:39,  361.48,   0.08, 2, 33378.6937, 1991.3827, UTC, ALT,  357.19,    4.29
1991-06-22, 17:33,  358.76,   0.03, 3, 33411.7312, 1991.4732, UTC, ALT,  357.25,    1.51
1991-07-05, 20:30,  356.99,   0.04, 3, 33424.8542, 1991.5092, UTC, ALT,  357.27,   -0.29
1991-07-19, 20:09,  352.04,   0.02, 3, 33438.8396, 1991.5475, UTC, ALT,  357.30,   -5.26
1991-08-02, 18:08,  349.33,   0.13, 3, 33452.7556, 1991.5856, UTC, ALT,  357.32,   -7.99
1991-08-19, 16:38,  347.33,   0.01, 2, 33469.6931, 1991.6320, UTC, ALT,  357.35,  -10.02
1991-08-30, 20:23,  347.13,   0.03, 2, 33480.8493, 1991.6626, UTC, ALT,  357.37,  -10.24
1991-09-14, 18:06,  348.82,   0.04, 3, 33495.7542, 1991.7034, UTC, ALT,  357.39,   -8.57
1991-10-29, 17:58,  354.64,   0.05, 3, 33540.7486, 1991.8267, UTC, ALT,  357.45,   -2.81
1991-11-09, 23:53,  355.90,   0.04, 2, 33551.9951, 1991.8575, UTC, ALT,  357.46,   -1.56
1991-11-22, 17:59,  359.22,   0.05, 3, 33564.7493, 1991.8925, UTC, ALT,  357.47,    1.74
1991-12-06, 18:02,  359.54,   0.00, 3, 33578.7514, 1991.9308, UTC, ALT,  357.49,    2.05
1991-12-21, 00:17,  362.02,   0.07, 3, 33593.0118, 1991.9699, UTC, ALT,  357.50,    4.52
1992-01-04, 01:49,  360.04,   0.00, 2, 33607.0757, 1992.0084, UTC, ALT,  357.51,    2.53
1992-01-31, 17:22,  363.09,   0.00, 1, 33634.7236, 1992.0839, UTC, ALT,  357.52,    5.57
1992-02-27, 21:43,  360.83,   0.07, 3, 33661.9049, 1992.1582, UTC, ALT,  357.53,    3.30
1992-03-05, 23:14,  362.33,   0.11, 3, 33668.9681, 1992.1775, UTC, ALT,  357.53,    4.79
1992-03-27, 01:16,  362.90,   0.04, 2, 33690.0528, 1992.2351, UTC, ALT,  357.54,    5.36
1992-04-09, 21:26,  362.24,   0.30, 2, 33703.8931, 1992.2729, UTC, ALT,  357.54,    4.69
1992-04-23, 22:47,  362.95,   0.04, 3, 33717.9493, 1992.3113, UTC, ALT,  357.54,    5.41
1992-05-07, 21:39,  362.86,   0.07, 3, 33731.9021, 1992.3495, UTC, ALT,  357.54,    5.32
1992-05-29, 20:27,  362.49,   0.10, 2, 33753.8521, 1992.4094, UTC, ALT,  357.55,    4.94
1992-06-11, 20:47,  361.85,   0.07, 3, 33766.8660, 1992.4450, UTC, ALT,  357.55,    4.30
1992-06-28, 03:02,  359.54,   0.04, 3, 33783.1264, 1992.4894, UTC, ALT,  357.55,    2.00
1992-07-12, 19:00,  354.87,   0.04, 3, 33797.7917, 1992.5295, UTC, ALT,  357.55,   -2.68
1992-07-23, 22:48,  351.32,   0.06, 2, 33808.9500, 1992.5600, UTC, ALT,  357.55,   -6.22
1992-08-07, 21:16,  347.74,   0.06, 3, 33823.8861, 1992.6008, UTC, ALT,  357.55,   -9.81
1992-08-23, 20:03,  346.82,   0.05, 3, 33839.8354, 1992.6444, UTC, ALT,  357.55,  -10.73
1992-08-28, 19:52,  346.70,   0.10, 3, 33844.8278, 1992.6580, UTC, ALT,  357.55,  -10.86
1992-09-03, 17:58,  347.41,   0.09, 3, 33850.7486, 1992.6742, UTC, ALT,  357.55,  -10.14
1992-09-18, 19:49,  347.56,   0.00, 2, 33865.8257, 1992.7154, UTC, ALT,  357.56,  -10.00
1992-10-10, 15:35,  350.81,   0.00, 3, 33887.6493, 1992.7750, UTC, ALT,  357.56,   -6.75
1992-10-24, 18:00,  353.03,   0.07, 3, 33901.7500, 1992.8135, UTC, ALT,  357.57,   -4.54
1992-11-05, 23:31,  356.26,   0.08, 3, 33913.9799, 1992.8469, UTC, ALT,  357.58,   -1.32
1992-11-21, 17:29,  356.47,   0.07, 3, 33929.7285, 1992.8900, UTC, ALT,  357.59,   -1.12
1992-12-04, 20:27,  358.63,   0.07, 3, 33942.8521, 1992.9258, UTC, ALT,  357.60,    1.03
1992-12-19, 23:46,  361.56,   0.24, 2, 33957.9903, 1992.9672, UTC, ALT,  357.61,    3.95
1992-12-31, 17:29,  362.79,   0.27, 2, 33969.7285, 1992.9993, UTC, ALT,  357.63,    5.16
1993-01-21, 21:19,  360.52,   0.02, 3, 33990.8882, 1993.0572, UTC, ALT,  357.65,    2.87
1993-02-04, 21:02,  360.62,   0.04, 3, 34004.8764, 1993.0956, UTC, ALT,  357.67,    2.95
1993-02-18, 20:08,  362.59,   0.05, 3, 34018.8389, 1993.1338, UTC, ALT,  357.69,    4.90
1993-03-05, 20:58,  361.90,   0.05, 3, 34033.8736, 1993.1750, UTC, ALT,  357.72,    4.18
1993-03-19, 21:54,  362.24,   0.09, 3, 34047.9125, 1993.2135, UTC, ALT,  357.74,    4.50
1993-04-01, 18:08,  362.73,   0.07, 3, 34060.7556, 1993.2486, UTC, ALT,  357.77,    4.97
1993-04-15, 21:25,  364.35,   0.08, 3, 34074.8924, 1993.2874, UTC, ALT,  357.79,    6.56
1993-04-29, 18:34,  363.25,   0.07, 3, 34088.7736, 1993.3254, UTC, ALT,  357.82,    5.42
1993-05-13, 18:28,  363.26,   0.04, 3, 34102.7694, 1993.3638, UTC, ALT,  357.86,    5.40
1993-05-27, 16:22,  362.72,   0.00, 2, 34116.6819, 1993.4019, UTC, ALT,  357.89,    4.83
1993-06-17, 18:06,  361.71,   0.07, 3, 34137.7542, 1993.4596, UTC, ALT,  357.94,    3.77
1993-06-24, 17:37,  357.81,   0.02, 3, 34144.7340, 1993.4787, UTC, ALT,  357.96,   -0.15
