%-------
%
% American Samoa SMO (14S 170W).
% Replicate sample mean Siemens CO2 values.
% Aspirated and Non-aspirated
%
% ************************************************************
%    From archive dated 08-Nov-2018 17:00:58
% ************************************************************
%
% This files contains the average of flask replicates collected on a given day.
% Flasks identified as outliers during workup or that are more than 0.25ppm from sample
% mean are flagged as outliers and excluded from average
%
% COLUMN DEFINITIONS:
% Columns 1 and 2 are the sampling date and time (UTC). 
%
% Column 3 is the Siemens CO2 replicate mean value in ppm
%
% Column 4 is the standard deviation of the retained replications
%
% Column 5 is the number of retained replicates
%
% Columns 6 and 7 are the dates Excel and decimal formats. 
%
% Column 8 is a flag for identifying uncertainty in the reported sampling time.
%   All sampling date/times are nominally corrected to UTC. But in some cases
%   the relevant correction is uncertain due to incomplete information on the
%   original sample log sheets. In this case Column 8 gives the (assumed)
%   correction applied (in hours). The flag is otherwise set to"UTC" indicating
%   that the time is not uncertain.
%
% Column 9 is a 3-letter station identifier.
%
% Column 10 is the value of a stiff spline fitted through the data
%
% Column 11 is the difference between the data and the stiff spline
%
%     Date,  Time,   Value,    StD, N,    T-Excel, T-Decimal,Zone, Sta,  Spline, Val-Spl
%-------
1993-06-22, 11:40,  355.50,   0.02, 6, 34142.4861, 1993.4726,   0, SAM,  355.77,   -0.27
1993-07-05, 22:50,  355.20,   0.02, 3, 34155.9514, 1993.5095, UTC, SAM,  355.82,   -0.61
1993-07-21, 19:34,  355.39,   0.05, 3, 34171.8153, 1993.5529, UTC, SAM,  355.87,   -0.48
1993-08-03, 02:00,  356.76,   0.02, 3, 34184.0833, 1993.5865, UTC, SAM,  355.92,    0.84
1993-08-14, 00:40,  356.11,   0.04, 3, 34195.0278, 1993.6165, UTC, SAM,  355.95,    0.16
1993-08-31, 01:15,  355.99,   0.02, 3, 34212.0521, 1993.6632, UTC, SAM,  356.01,   -0.03
1993-09-24, 23:50,  356.02,   0.04, 3, 34236.9931, 1993.7315, UTC, SAM,  356.10,   -0.08
1993-10-04, 23:59,  355.78,   0.00, 3, 34246.9993, 1993.7589, UTC, SAM,  356.13,   -0.35
1993-10-18, 01:44,  355.98,   0.02, 3, 34260.0722, 1993.7947, UTC, SAM,  356.18,   -0.20
1993-11-03, 00:50,  355.75,   0.02, 3, 34276.0347, 1993.8385, UTC, SAM,  356.24,   -0.48
