% Monthly averaged 2data for station CBA       
%
% /data/instrument/database_active/curves/cbac.mon                                                
%
% Date   - Date of measurement
% Value  - Averaged measured concentration, ppm
%          Zero value indicates no data available
% SsnDtr - Averaged measured value with fitted seasonal cycle removed
% Fit    - Average determined from curve fit
% FitDtr - Average from curve fit with seasonal cycle removed
% Num    - Number of averages used in the monthly mean calculation
%
%    Date      Value     SsnDtr        Fit     FitDtr  Num
1995.0411     0.0000     0.0000   363.7115   360.2349    0
1995.1260     0.0000     0.0000   364.3617   360.4142    0
1995.2027     0.0000     0.0000   365.3340   360.5762    0
1995.2877     0.0000     0.0000   366.1384   360.7555    0
1995.3699     0.0000     0.0000   365.5072   360.9291    0
1995.4548     0.0000     0.0000   361.8735   361.1084    0
1995.5370     0.0000     0.0000   355.2465   361.2819    0
1995.6219   350.6449   361.2407   350.8654   361.4612    3
1995.7068   354.5362   362.2421   353.9346   361.6405    2
1995.7890   360.9836   363.0920   359.7054   361.8138    1
1995.8740   362.4856   361.2324   363.2462   361.9930    2
1995.9562     0.0000     0.0000   364.8768   362.1669    0
1996.0410   365.3628   361.8868   365.8231   362.3471    2
1996.1257   365.4029   361.4582   366.4727   362.5279    3
1996.2049   365.9796   361.1967   367.4804   362.6975    2
1996.2896   367.4779   362.0940   368.2615   362.8776    1
1996.3716   367.9731   363.4356   367.5858   363.0483    3
1996.4563   365.9844   365.3224   363.8795   363.2175    2
1996.5383   359.7666   365.9085   357.2295   363.3714    2
1996.6230   355.4860   366.0918   352.9129   363.5187    2
1996.7077   354.7960   362.4484   356.0027   363.6552    2
1996.7896   362.4492   364.5243   361.7044   363.7796    2
1996.8743   364.1309   362.8692   365.1649   363.9032    3
1996.9563   367.9661   365.2547   366.7322   364.0207    1
1997.0411   366.2321   362.7555   367.6186   364.1420    2
1997.1260   368.3975   364.4500   368.2127   364.2652    2
1997.2027   368.4064   363.6486   369.1371   364.3793    2
1997.2877   369.0141   363.6312   369.8928   364.5099    1
1997.3699   368.8341   364.2559   369.2193   364.6411    3
1997.4548   365.1374   364.3723   365.5468   364.7817    2
1997.5370   358.6774   364.7128   358.8871   364.9225    2
1997.6219   355.3280   365.9238   354.4767   365.0725    1
1997.7068   357.4656   365.1716   357.5204   365.2264    2
1997.7890   365.5839   367.6923   363.2701   365.3786    2
1997.8740   366.7662   365.5130   366.7930   365.5397    2
1997.9562   368.1103   365.4004   368.4104   365.7005    3
1998.0411   367.8314   364.3548   369.3495   365.8730    2
1998.1260   370.0768   366.1293   370.0003   366.0528    2
1998.2027   369.8077   365.0499   370.9793   366.2215    2
1998.2877   371.0982   365.7154   371.7975   366.4146    3
1998.3699     0.0000     0.0000   371.1849   366.6067    0
1998.4548   367.8626   367.0975   367.5737   366.8086    3
1998.5370   361.2962   367.3316   360.9699   367.0053    2
1998.6219   354.9040   365.4998   356.6121   367.2079    2
1998.7068   360.8443   368.5503   359.7020   367.4079    2
1998.7890   366.5807   368.6891   365.4879   367.5963    3
1998.8740   369.4075   368.1543   369.0368   367.7836    2
1998.9562   370.2167   367.5068   370.6668   367.9569    2
1999.0411   371.3246   367.8480   371.6043   368.1277    2
1999.1260   373.2379   369.2904   372.2370   368.2895    2
1999.2027   375.0065   370.2487   373.1853   368.4275    3
1999.2877   373.5422   368.1594   373.9543   368.5715    3
1999.3699   373.4727   368.8945   373.2821   368.7040    1
1999.4548   370.7053   369.9403   369.6011   368.8360    2
1999.5370   363.2797   369.3151   362.9257   368.9611    2
1999.6219   355.9787   366.5745   358.4946   369.0904    2
1999.7068   360.9641   368.6700   361.5165   369.2224    3
1999.7890   365.8841   367.9925   367.2450   369.3534    2
1999.8740   371.0013   369.7480   370.7453   369.4921    2
1999.9562   371.9938   369.2839   372.3387   369.6289    2
2000.0410   373.5894   370.1134   373.2478   369.7718    2
2000.1257   373.6007   369.6559   373.8604   369.9156    2
2000.2049   374.9128   370.1299   374.8333   370.0503    3
2000.2896   375.4241   370.0402   375.5778   370.1939    2
2000.3716   375.5919   371.0544   374.8690   370.3314    2
2000.4563   371.7633   371.1012   371.1335   370.4714    1
2000.5383   363.1120   369.2538   364.4624   370.6043    2
2000.6230   361.7015   372.3074   360.1327   370.7385    2
2000.7077   364.6019   372.2544   363.2162   370.8687    3
2000.7896   368.8490   370.9242   368.9161   370.9913    2
2000.8743   371.7503   370.4887   372.3782   371.1166    2
2000.9563   371.2710   368.5595   373.9497   371.2382    1
2001.0411   374.5555   371.0789   374.8422   371.3656    2
2001.1260   375.9044   371.9569   375.4427   371.4952    2
2001.2027   376.6075   371.8497   376.3718   371.6139    3
2001.2877   378.4925   373.1097   377.1308   371.7479    2
2001.3699   377.2455   372.6673   376.4589   371.8807    2
