%-------
%
% La Jolla California LJO (33N 117W).
% Replicate sample mean Siemens CO2 values.
% Aspirated and Non-aspirated
%
% ************************************************************
%    From archive dated 08-Nov-2018 17:00:58
% ************************************************************
%
% This files contains the average of flask replicates collected on a given day.
% Flasks identified as outliers during workup or that are more than 0.25ppm from sample
% mean are flagged as outliers and excluded from average
%
% COLUMN DEFINITIONS:
% Columns 1 and 2 are the sampling date and time (UTC). 
%
% Column 3 is the Siemens CO2 replicate mean value in ppm
%
% Column 4 is the standard deviation of the retained replications
%
% Column 5 is the number of retained replicates
%
% Columns 6 and 7 are the dates Excel and decimal formats. 
%
% Column 8 is a flag for identifying uncertainty in the reported sampling time.
%   All sampling date/times are nominally corrected to UTC. But in some cases
%   the relevant correction is uncertain due to incomplete information on the
%   original sample log sheets. In this case Column 8 gives the (assumed)
%   correction applied (in hours). The flag is otherwise set to"UTC" indicating
%   that the time is not uncertain.
%
% Column 9 is a 3-letter station identifier.
%
% Column 10 is the value of a stiff spline fitted through the data
%
% Column 11 is the difference between the data and the stiff spline
%
%     Date,  Time,   Value,    StD, N,    T-Excel, T-Decimal,Zone, Sta,  Spline, Val-Spl
%-------
1989-05-10, 20:00,  358.81,   0.03, 7, 32638.8333, 1989.3557,   8, LJO,  354.02,    4.80
1989-06-23, 20:00,  354.62,   0.16, 2, 32682.8333, 1989.4763,   8, LJO,  354.18,    0.44
1989-08-03, 01:58,  347.48,   0.17, 2, 32723.0819, 1989.5865, UTC, LJO,  354.33,   -6.85
1989-09-10, 20:00,  347.06,   0.00, 1, 32761.8333, 1989.6927,   8, LJO,  354.48,   -7.42
1989-11-25, 00:51,  354.65,   0.05, 3, 32837.0354, 1989.8987, UTC, LJO,  354.77,   -0.12
1990-01-03, 01:00,  359.06,   0.01, 2, 32876.0417, 1990.0056, UTC, LJO,  354.92,    4.15
1990-12-12, 21:15,  356.08,   0.08, 3, 33219.8854, 1990.9476, UTC, LJO,  356.00,    0.08
1990-12-29, 23:10,  356.94,   0.00, 1, 33236.9653, 1990.9944, UTC, LJO,  356.04,    0.90
1991-02-28, 20:12,  360.37,   0.00, 1, 33297.8417, 1991.1612, UTC, LJO,  356.20,    4.17
1991-03-15, 19:34,  359.90,   0.04, 2, 33312.8153, 1991.2022, UTC, LJO,  356.23,    3.67
1991-04-08, 00:24,  359.32,   0.03, 5, 33336.0164, 1991.2658,   8, LJO,  356.28,    3.03
1991-04-10, 23:54,  360.53,   0.06, 6, 33338.9955, 1991.2740,   8, LJO,  356.29,    4.24
1991-04-18, 00:06,  359.61,   0.04, 3, 33346.0042, 1991.2932,   8, LJO,  356.31,    3.30
1991-05-04, 00:15,  359.06,   0.00, 1, 33362.0104, 1991.3370, UTC, LJO,  356.34,    2.72
1991-05-20, 22:35,  360.49,   0.09, 3, 33378.9410, 1991.3834, UTC, LJO,  356.37,    4.11
1991-06-13, 00:15,  358.37,   0.05, 2, 33402.0104, 1991.4466, UTC, LJO,  356.42,    1.95
1991-06-20, 23:45,  354.98,   0.04, 3, 33409.9896, 1991.4685, UTC, LJO,  356.43,   -1.45
1991-07-17, 01:20,  354.83,   0.05, 2, 33436.0556, 1991.5399, UTC, LJO,  356.48,   -1.65
1991-07-24, 00:00,  353.14,   0.09, 3, 33443.0000, 1991.5589, UTC, LJO,  356.49,   -3.34
1991-08-05, 23:35,  349.58,   0.04, 2, 33455.9826, 1991.5945, UTC, LJO,  356.50,   -6.93
1991-08-26, 22:00,  349.93,   0.08, 2, 33476.9167, 1991.6518, UTC, LJO,  356.53,   -6.60
1991-09-05, 22:40,  352.50,   0.08, 3, 33486.9444, 1991.6793, UTC, LJO,  356.54,   -4.04
1991-10-05, 00:50,  354.93,   0.02, 3, 33516.0347, 1991.7590,   8, LJO,  356.56,   -1.64
1991-10-15, 00:26,  355.56,   0.02, 3, 33526.0181, 1991.7864,   8, LJO,  356.57,   -1.01
1991-10-22, 23:44,  354.41,   0.02, 3, 33533.9889, 1991.8082,   8, LJO,  356.57,   -2.16
1991-11-14, 23:25,  356.58,   0.07, 3, 33556.9757, 1991.8712, UTC, LJO,  356.58,    0.00
1991-12-28, 23:45,  357.58,   0.05, 3, 33600.9896, 1991.9918, UTC, LJO,  356.58,    1.00
1992-01-05, 23:46,  358.33,   0.04, 3, 33608.9903, 1992.0136, UTC, LJO,  356.58,    1.75
