%-------
%
% Cold Bay Alaska CBA (55N 163W).
% Replicate sample mean Siemens CO2 values.
% Aspirated and Non-aspirated
%
% ************************************************************
%    From archive dated 08-Nov-2018 17:00:58
% ************************************************************
%
% This files contains the average of flask replicates collected on a given day.
% Flasks identified as outliers during workup or that are more than 0.25ppm from sample
% mean are flagged as outliers and excluded from average
%
% COLUMN DEFINITIONS:
% Columns 1 and 2 are the sampling date and time (UTC). 
%
% Column 3 is the Siemens CO2 replicate mean value in ppm
%
% Column 4 is the standard deviation of the retained replications
%
% Column 5 is the number of retained replicates
%
% Columns 6 and 7 are the dates Excel and decimal formats. 
%
% Column 8 is a flag for identifying uncertainty in the reported sampling time.
%   All sampling date/times are nominally corrected to UTC. But in some cases
%   the relevant correction is uncertain due to incomplete information on the
%   original sample log sheets. In this case Column 8 gives the (assumed)
%   correction applied (in hours). The flag is otherwise set to"UTC" indicating
%   that the time is not uncertain.
%
% Column 9 is a 3-letter station identifier.
%
% Column 10 is the value of a stiff spline fitted through the data
%
% Column 11 is the difference between the data and the stiff spline
%
%     Date,  Time,   Value,    StD, N,    T-Excel, T-Decimal,Zone, Sta,  Spline, Val-Spl
%-------
1995-08-16, 20:30,  351.50,   0.07, 3, 34927.8542, 1995.6243, UTC, CBA,  361.47,   -9.97
1995-08-18, 00:30,  349.84,   0.23, 2, 34929.0208, 1995.6275, UTC, CBA,  361.47,  -11.64
1995-08-24, 19:00,  350.71,   0.04, 3, 34935.7917, 1995.6460, UTC, CBA,  361.51,  -10.80
1995-09-08, 21:30,  352.47,   0.03, 3, 34950.8958, 1995.6874, UTC, CBA,  361.60,   -9.13
1995-09-22, 20:00,  356.78,   0.02, 3, 34964.8333, 1995.7256,   9, CBA,  361.68,   -4.90
1995-10-05, 22:30,  359.21,   0.10, 3, 34977.9375, 1995.7615, UTC, CBA,  361.76,   -2.55
1995-11-01, 21:40,  360.88,   0.02, 3, 35004.9028, 1995.8354, UTC, CBA,  361.91,   -1.03
1995-11-13, 18:50,  362.72,   0.05, 3, 35016.7847, 1995.8679, UTC, CBA,  361.98,    0.74
1996-01-13, 23:30,  365.68,   0.05, 3, 35077.9792, 1996.0355, UTC, CBA,  362.34,    3.34
1996-01-25, 23:40,  365.20,   0.04, 3, 35089.9861, 1996.0683, UTC, CBA,  362.41,    2.80
1996-02-03, 01:35,  365.31,   0.17, 2, 35098.0660, 1996.0903, UTC, CBA,  362.45,    2.86
1996-02-17, 21:50,  365.33,   0.03, 3, 35112.9097, 1996.1309, UTC, CBA,  362.54,    2.79
1996-02-24, 21:40,  365.62,   0.02, 3, 35119.9028, 1996.1500, UTC, CBA,  362.58,    3.04
