% Monthly averaged 2data for station KUM       
%
% /data/instrument/database_active/curves/kumc.mon                                                
%
% Date   - Date of measurement
% Value  - Averaged measured concentration, ppm
%          Zero value indicates no data available
% SsnDtr - Averaged measured value with fitted seasonal cycle removed
% Fit    - Average determined from curve fit
% FitDtr - Average from curve fit with seasonal cycle removed
% Num    - Number of averages used in the monthly mean calculation
%
%    Date      Value     SsnDtr        Fit     FitDtr  Num
1993.0411     0.0000     0.0000   356.3191   355.3655    0
1993.1260     0.0000     0.0000   357.6357   355.5628    0
1993.2027     0.0000     0.0000   358.2202   355.7410    0
1993.2877     0.0000     0.0000   359.0558   355.9383    0
1993.3699     0.0000     0.0000   359.8785   356.1293    0
1993.4548   359.9436   357.5964   358.6737   356.3266    1
1993.5370     0.0000     0.0000   355.6489   356.5176    0
1993.6219     0.0000     0.0000   352.8545   356.7159    0
1993.7068   352.1119   356.9185   352.1102   356.9167    1
1993.7890   352.6995   356.1375   353.6771   357.1151    2
1993.8740   355.7329   357.0955   355.9630   357.3256    2
1993.9562   357.3960   357.5702   357.3601   357.5344    2
1994.0411   359.2405   358.2868   358.7076   357.7540    3
1994.1260   358.6764   356.6036   360.0494   357.9765    2
1994.2027   361.3580   358.8788   360.6591   358.1799    1
1994.2877   361.6021   358.4846   361.5237   358.4062    2
1994.3699   362.4876   358.7383   362.3733   358.6240    2
1994.4548   360.7162   358.3691   361.1932   358.8460    2
1994.5370   357.9388   358.8075   358.1875   359.0562    1
1994.6219   355.9825   359.8439   355.4048   359.2661    3
1994.7068   354.8405   359.6470   354.6601   359.4666    2
1994.7890   356.8222   360.2602   356.2130   359.6510    2
1994.8740   358.7625   360.1251   358.4687   359.8312    2
1994.9562   359.8760   360.0503   359.8230   359.9972    1
1995.0411   360.4852   359.5316   361.1156   360.1620    2
1995.1260   361.5292   359.4563   362.3947   360.3218    2
1995.2027   363.2050   360.7258   362.9416   360.4624    3
1995.2877   364.4195   361.3021   363.7307   360.6133    2
1995.3699   364.2304   360.4811   364.5035   360.7542    2
1995.4548     0.0000     0.0000   363.2427   360.8956    0
1995.5370   359.9192   360.7879   360.1598   361.0286    2
1995.6219   357.4726   361.3339   357.3009   361.1622    2
1995.7068   356.7589   361.5654   356.4853   361.2918    2
1995.7890   358.0049   361.4429   357.9761   361.4141    2
1995.8740   360.2913   361.6539   360.1753   361.5379    2
1995.9562   360.6447   360.8190   361.4822   361.6565    1
1996.0410   361.8626   360.9107   362.7311   361.7792    2
1996.1257   364.6921   362.6223   363.9722   361.9024    2
1996.2049   364.7642   362.2761   364.5049   362.0169    2
1996.2896   364.3783   361.2392   365.2769   362.1378    2
1996.3716   365.7921   362.0448   365.9999   362.2526    2
1996.4563   365.6396   363.3400   364.6666   362.3669    1
1996.5383   362.4329   363.3542   361.5497   362.4710    3
1996.6230   359.5755   363.4630   358.6830   362.5705    1
1996.7077   358.3999   363.2029   357.8597   362.6627    2
1996.7896   359.2405   362.6638   359.3252   362.7486    2
1996.8743   361.5378   362.8936   361.4831   362.8389    1
1996.9563   362.3382   362.5111   362.7594   362.9323    2
1997.0411   363.9174   362.9637   363.9924   363.0388    2
1997.1260   363.8314   361.7585   365.2322   363.1594    2
1997.2027   365.9579   363.4787   365.7616   363.2824    2
1997.2877   366.0704   362.9529   366.5520   363.4345    2
1997.3699   367.2359   363.4866   367.3467   363.5974    1
1997.4548   366.6443   364.2972   366.1286   363.7814    2
1997.5370   362.8035   363.6722   363.1049   363.9736    2
1997.6219   361.1277   364.9891   360.3246   364.1859    1
1997.7068   358.5615   363.3680   359.6053   364.4118    2
1997.7890   360.4465   363.8845   361.2052   364.6432    2
1997.8740   362.9955   364.3581   363.5312   364.8938    2
1997.9562   365.5014   365.6757   364.9694   365.1437    2
1998.0411   366.8874   365.9338   366.3582   365.4046    2
1998.1260   368.6062   366.5333   367.7365   365.6636    2
1998.2027   368.9702   366.4910   368.3724   365.8932    2
1998.2877   369.1172   365.9997   369.2593   366.1419    2
1998.3699   369.5867   365.8375   370.1268   366.3775    3
1998.4548   367.7899   365.4428   368.9632   366.6161    2
1998.5370   365.9463   366.8150   365.9719   366.8406    2
1998.6219   363.6468   367.5081   363.2002   367.0616    2
1998.7068   363.6991   368.5056   362.4603   367.2669    1
1998.7890   365.9355   369.3735   364.0100   367.4480    2
1998.8740   365.9912   367.3538   366.2530   367.6156    3
1998.9562   367.1580   367.3323   367.5865   367.7608    1
1999.0411   368.8978   367.9442   368.8492   367.8956    2
1999.1260   369.3657   367.2928   370.0899   368.0171    2
1999.2027   371.5828   369.1036   370.5958   368.1166    3
1999.2877   371.3018   368.1843   371.3346   368.2171    2
1999.3699   371.7044   367.9552   372.0574   368.3081    2
1999.4548   370.4787   368.1315   370.7465   368.3993    2
1999.5370   367.8653   368.7340   367.6186   368.4873    2
1999.6219   364.5541   368.4154   364.7181   368.5794    2
1999.7068   362.8124   367.6189   363.8684   368.6749    1
1999.7890   365.1780   368.6160   365.3347   368.7727    1
1999.8740   367.8086   369.1712   367.5176   368.8801    2
1999.9562   368.6835   368.8578   368.8167   368.9910    2
2000.0410   369.8559   368.9040   370.0655   369.1136    2
2000.1257   370.3827   368.3129   371.3149   369.2451    3
2000.2049   372.2458   369.7577   371.8641   369.3761    2
2000.2896   373.3208   370.1817   372.6619   369.5229    2
2000.3716   373.5121   369.7648   373.4169   369.6696    2
2000.4563   371.7976   369.4980   372.1249   369.8253    1
2000.5383   368.0388   368.9601   369.0579   369.9792    2
2000.6230   366.9022   370.7897   366.2529   370.1404    2
2000.7077   366.0399   370.8429   365.4989   370.3019    1
2000.7896   366.9932   370.4165   367.0337   370.4571    3
2000.8743   368.6614   370.0172   369.2597   370.6155    2
2000.9563   373.1354   373.3083   370.5932   370.7660    1
2001.0411   371.4380   370.4844   371.8708   370.9172    2
2001.1260   373.3646   371.2917   373.1360   371.0631    2
2001.2027   375.2180   372.7388   373.6697   371.1905    2
2001.2877   373.4941   370.3766   374.4450   371.3275    2
2001.3699   375.4967   371.7474   375.2079   371.4586    1
2001.4548   373.4960   371.1489   373.9416   371.5945    2
2001.5370   371.2935   372.1622   370.8593   371.7281    3
2001.6219   368.0229   371.8842   368.0085   371.8699    2
2001.7068   366.8343   371.6408   367.2109   372.0174    2
2001.7890   368.5619   371.9998   368.7295   372.1675    2
2001.8740   370.9170   372.2795   370.9695   372.3321    2
2001.9562   371.7663   371.9406   372.3274   372.5016    2
2002.0411   372.4559   371.5023   373.6413   372.6877    2
2002.1260   374.2436   372.1707   374.9569   372.8841    2
2002.2027   377.4475   374.9683   375.5470   373.0678    2
2002.2877   376.4012   373.2838   376.3918   373.2743    2
2002.3699   376.5674   372.8181   377.2258   373.4765    2
2002.4548   375.8421   373.4949   376.0346   373.6874    2
2002.5370   372.4589   373.3276   373.0233   373.8920    2
2002.6219   370.9453   374.8066   370.2398   374.1011    2
2002.7068   369.9071   374.7136   369.4980   374.3045    1
2002.7890   371.9664   375.4044   371.0556   374.4935    2
2002.8740   374.1629   375.5254   373.3168   374.6794    2
2002.9562   374.3931   374.5674   374.6769   374.8512    2
2003.0411   375.8577   374.9040   375.9770   375.0234    2
2003.1260   377.0891   375.0163   377.2657   375.1928    2
2003.2027   376.8758   374.3966   377.8245   375.3453    2
2003.2877   378.3703   375.2528   378.6326   375.5152    2
2003.3699   378.7086   374.9593   379.4299   375.6806    1
2003.4548   379.1203   376.7732   378.1986   375.8514    2
2003.5370   376.0636   376.9323   375.1465   376.0152    2
2003.6219   371.1140   374.9753   372.3213   376.1826    2
2003.7068   372.4941   377.3006   371.5429   376.3494    2
2003.7890   373.8244   377.2624   373.0723   376.5102    2
2003.8740   375.6092   376.9718   375.3141   376.6767    2
2003.9562   375.9212   376.0955   376.6670   376.8413    3
2004.0410   377.6800   376.7281   377.9707   377.0188    1
2004.1257   378.6647   376.5949   379.2758   377.2060    2
2004.2049   379.0700   376.5820   379.8788   377.3907    4
2004.2896   381.1437   378.0046   380.7367   377.5976    2
2004.3716   380.9311   377.1839   381.5510   377.8037    2
2004.4563   380.5727   378.2730   380.3180   378.0184    3
2004.5383   377.8181   378.7394   377.3017   378.2230    2
2004.6230   374.1422   378.0297   374.5394   378.4269    2
2004.7077   376.2318   381.0347   373.8167   378.6197    2
2004.7896   375.4059   378.8292   375.3698   378.7932    2
2004.8743   378.8355   380.1912   377.6044   378.9602    2
2004.9563   377.0663   377.2392   378.9391   379.1120    1
2005.0411   378.2767   377.3231   380.2162   379.2626    1
2005.1260   381.8041   379.7312   381.4828   379.4099    2
2005.2027   381.8386   379.3594   382.0196   379.5404    2
2005.2877   383.5416   380.4242   382.8004   379.6829    2
2005.3699   383.4524   379.7031   383.5692   379.8200    3
2005.4548   382.2050   379.8578   382.3099   379.9628    2
2005.5370   379.3397   380.2084   379.2353   380.1040    2
