% Monthly averaged 2data for station MLO       
%
% /data/instrument/database_active/curves/mloc.mon                                                
%
% Date   - Date of measurement
% Value  - Averaged measured concentration, ppm
%          Zero value indicates no data available
% SsnDtr - Averaged measured value with fitted seasonal cycle removed
% Fit    - Average determined from curve fit
% FitDtr - Average from curve fit with seasonal cycle removed
% Num    - Number of averages used in the monthly mean calculation
%
%    Date      Value     SsnDtr        Fit     FitDtr  Num
1991.0411   356.0699   355.8030   355.8682   355.6014    1
1991.1260     0.0000     0.0000   356.4324   355.6230    0
1991.2027     0.0000     0.0000   357.1946   355.6428    0
1991.2877   358.4464   355.6023   358.5092   355.6651    2
1991.3699   359.2727   355.9170   359.0432   355.6874    3
1991.4548   358.2573   355.8582   358.1103   355.7113    1
1991.5370   355.8054   355.2952   356.2460   355.7358    2
1991.6219     0.0000     0.0000   353.8587   355.7639    0
1991.7068     0.0000     0.0000   352.2086   355.7951    0
1991.7890     0.0000     0.0000   352.4174   355.8285    0
1991.8740   353.8216   355.8629   353.8249   355.8662    2
1991.9562   354.8200   355.5158   355.2102   355.9060    2
1992.0410   356.3029   356.0370   356.2163   355.9504    3
1992.1257   356.7163   355.9091   356.8042   355.9970    2
1992.2049   358.2930   356.7113   357.6235   356.0419    1
1992.2896   358.9743   356.1039   358.9612   356.0908    1
1992.3716   359.0706   355.7199   359.4897   356.1390    2
1992.4563   359.5722   357.2006   358.5612   356.1897    1
1992.5383     0.0000     0.0000   356.7151   356.2390    0
1992.6230     0.0000     0.0000   354.3567   356.2903    0
1992.7077     0.0000     0.0000   352.7483   356.3422    0
1992.7896   353.0546   356.4588   352.9890   356.3932    3
1992.8743   355.0154   357.0506   354.4122   356.4474    1
1992.9563   355.7044   356.3985   355.8079   356.5020    1
1993.0411   356.8035   356.5367   356.8289   356.5621    2
1993.1260   356.6840   355.8746   357.4367   356.6273    2
1993.2027   358.3082   356.7563   358.2432   356.6914    2
1993.2877   359.4986   356.6546   359.6118   356.7677    2
1993.3699   360.5799   357.2241   360.2022   356.8465    2
1993.4548   359.6296   357.2305   359.3310   356.9320    2
1993.5370     0.0000     0.0000   357.5287   357.0186    0
1993.6219   355.3567   357.2620   355.2074   357.1126    2
1993.7068   353.6945   357.2810   353.6257   357.2122    2
1993.7890   353.5582   356.9692   353.9038   357.3149    3
1993.8740   355.8383   357.8796   355.3871   357.4284    1
1993.9562   356.4972   357.1930   356.8501   357.5459    1
1994.0411   358.0570   357.7902   357.9423   357.6755    2
1994.1260   358.4631   357.6537   358.6230   357.8136    2
1994.2027   359.3486   357.7967   359.4979   357.9461    2
1994.2877   360.8733   358.0293   360.9449   358.1008    3
1994.3699   361.4775   358.1218   361.6138   358.2581    2
1994.4548   360.8348   358.4357   360.8264   358.4273    2
1994.5370   359.0555   358.5453   359.1069   358.5967    2
1994.6219   357.1324   359.0377   356.8710   358.7762    2
1994.7068   355.1257   358.7122   355.3726   358.9592    3
1994.7890   355.9894   359.4005   355.7278   359.1388    2
1994.8740   357.5183   359.5596   357.2849   359.3262    1
1994.9562   359.0542   359.7500   358.8125   359.5082    3
1995.0411   359.5529   359.2860   359.9633   359.6964    2
1995.1260   360.7589   359.9496   360.6940   359.8846    2
1995.2027   361.5021   359.9503   361.6063   360.0544    2
1995.2877   362.6455   359.8015   363.0855   360.2415    2
1995.3699   363.1154   359.7597   363.7768   360.4210    2
1995.4548   363.3908   360.9918   363.0017   360.6026    3
1995.5370   361.9970   361.4868   361.2816   360.7714    2
1995.6219   359.0509   360.9561   359.0311   360.9364    2
1995.7068   358.2038   361.7904   357.5043   361.0908    2
1995.7890   357.5332   360.9442   357.8194   361.2304    2
1995.8740   359.4537   361.4949   359.3246   361.3659    2
