%-------
%
% Cape Kumukahi Hawaii KUM (20N 155W).
% Replicate sample mean Siemens CO2 values.
% Aspirated and Non-aspirated
%
% ************************************************************
%    From archive dated 08-Nov-2018 17:00:58
% ************************************************************
%
% This files contains the average of flask replicates collected on a given day.
% Flasks identified as outliers during workup or that are more than 0.25ppm from sample
% mean are flagged as outliers and excluded from average
%
% COLUMN DEFINITIONS:
% Columns 1 and 2 are the sampling date and time (UTC). 
%
% Column 3 is the Siemens CO2 replicate mean value in ppm
%
% Column 4 is the standard deviation of the retained replications
%
% Column 5 is the number of retained replicates
%
% Columns 6 and 7 are the dates Excel and decimal formats. 
%
% Column 8 is a flag for identifying uncertainty in the reported sampling time.
%   All sampling date/times are nominally corrected to UTC. But in some cases
%   the relevant correction is uncertain due to incomplete information on the
%   original sample log sheets. In this case Column 8 gives the (assumed)
%   correction applied (in hours). The flag is otherwise set to"UTC" indicating
%   that the time is not uncertain.
%
% Column 9 is a 3-letter station identifier.
%
% Column 10 is the value of a stiff spline fitted through the data
%
% Column 11 is the difference between the data and the stiff spline
%
%     Date,  Time,   Value,    StD, N,    T-Excel, T-Decimal,Zone, Sta,  Spline, Val-Spl
%-------
1993-06-28, 22:00,  358.73,   0.04, 3, 34148.9167, 1993.4902,  10, KUM,  356.42,    2.32
1993-09-20, 23:47,  352.24,   0.04, 2, 34232.9910, 1993.7205,  10, KUM,  356.95,   -4.71
1993-10-12, 21:42,  352.98,   0.23, 2, 34254.9042, 1993.7806, UTC, KUM,  357.09,   -4.12
1993-10-25, 21:31,  352.99,   0.12, 3, 34267.8965, 1993.8162,  10, KUM,  357.18,   -4.19
1993-11-08, 22:50,  355.10,   0.09, 3, 34281.9514, 1993.8547, UTC, KUM,  357.28,   -2.18
1993-11-22, 22:56,  356.32,   0.02, 3, 34295.9556, 1993.8930, UTC, KUM,  357.37,   -1.05
1993-12-06, 22:27,  356.73,   0.04, 3, 34309.9354, 1993.9313, UTC, KUM,  357.47,   -0.74
1993-12-20, 23:05,  357.91,   0.05, 3, 34323.9618, 1993.9698, UTC, KUM,  357.57,    0.34
1994-01-03, 22:37,  358.95,   0.05, 3, 34337.9424, 1994.0081, UTC, KUM,  357.67,    1.29
1994-01-18, 22:28,  359.37,   0.00, 3, 34352.9361, 1994.0491, UTC, KUM,  357.77,    1.60
1994-01-31, 22:30,  359.76,   0.04, 2, 34365.9375, 1994.0848, UTC, KUM,  357.87,    1.90
1994-02-14, 22:25,  358.57,   0.21, 2, 34379.9340, 1994.1231, UTC, KUM,  357.97,    0.60
1994-02-28, 22:15,  359.09,   0.07, 2, 34393.9271, 1994.1614, UTC, KUM,  358.07,    1.02
1994-03-28, 22:36,  361.64,   0.04, 2, 34421.9417, 1994.2382, UTC, KUM,  358.27,    3.37
1994-04-11, 22:34,  360.78,   0.02, 3, 34435.9403, 1994.2765, UTC, KUM,  358.38,    2.41
1994-04-25, 21:45,  362.66,   0.00, 3, 34449.9062, 1994.3148, UTC, KUM,  358.48,    4.18
1994-05-09, 22:47,  362.58,   0.07, 3, 34463.9493, 1994.3533, UTC, KUM,  358.58,    4.00
1994-05-23, 23:19,  362.28,   0.03, 3, 34477.9715, 1994.3917, UTC, KUM,  358.68,    3.60
1994-06-06, 23:05,  361.46,   0.05, 3, 34491.9618, 1994.4300, UTC, KUM,  358.78,    2.68
1994-06-21, 23:10,  360.06,   0.15, 3, 34506.9653, 1994.4711, UTC, KUM,  358.89,    1.18
1994-07-18, 21:32,  357.61,   0.03, 3, 34533.8972, 1994.5449,  10, KUM,  359.08,   -1.47
1994-08-01, 22:10,  357.66,   0.03, 3, 34547.9236, 1994.5834,  10, KUM,  359.17,   -1.52
1994-08-15, 22:40,  356.16,   0.02, 3, 34561.9444, 1994.6218,  10, KUM,  359.27,   -3.11
1994-08-29, 22:35,  354.54,   0.06, 3, 34575.9410, 1994.6601,  10, KUM,  359.36,   -4.82
1994-09-12, 22:30,  354.70,   0.03, 2, 34589.9375, 1994.6985,  10, KUM,  359.45,   -4.75
1994-09-26, 22:40,  355.30,   0.00, 1, 34603.9444, 1994.7368,  10, KUM,  359.54,   -4.24
1994-10-11, 22:30,  357.18,   0.07, 3, 34618.9375, 1994.7779,  10, KUM,  359.63,   -2.45
1994-10-24, 22:15,  356.88,   0.04, 2, 34631.9271, 1994.8135, UTC, KUM,  359.70,   -2.83
1994-11-07, 22:20,  358.80,   0.05, 3, 34645.9306, 1994.8519,  10, KUM,  359.79,   -0.98
1994-11-23, 21:30,  358.66,   0.04, 2, 34661.8958, 1994.8956, UTC, KUM,  359.88,   -1.21
1994-12-05, 22:30,  359.50,   0.00, 3, 34673.9375, 1994.9286,  10, KUM,  359.94,   -0.44
1995-01-03, 22:20,  360.36,   0.06, 2, 34702.9306, 1995.0080,  10, KUM,  360.10,    0.26
