%-------
%
% Palmer Station PSA (65S 64W).
% Replicate sample mean Siemens CO2 values.
% Aspirated and Non-aspirated
%
% ************************************************************
%    From archive dated 08-Nov-2018 17:00:58
% ************************************************************
%
% This files contains the average of flask replicates collected on a given day.
% Flasks identified as outliers during workup or that are more than 0.25ppm from sample
% mean are flagged as outliers and excluded from average
%
% COLUMN DEFINITIONS:
% Columns 1 and 2 are the sampling date and time (UTC). 
%
% Column 3 is the Siemens CO2 replicate mean value in ppm
%
% Column 4 is the standard deviation of the retained replications
%
% Column 5 is the number of retained replicates
%
% Columns 6 and 7 are the dates Excel and decimal formats. 
%
% Column 8 is a flag for identifying uncertainty in the reported sampling time.
%   All sampling date/times are nominally corrected to UTC. But in some cases
%   the relevant correction is uncertain due to incomplete information on the
%   original sample log sheets. In this case Column 8 gives the (assumed)
%   correction applied (in hours). The flag is otherwise set to"UTC" indicating
%   that the time is not uncertain.
%
% Column 9 is a 3-letter station identifier.
%
% Column 10 is the value of a stiff spline fitted through the data
%
% Column 11 is the difference between the data and the stiff spline
%
%     Date,  Time,   Value,    StD, N,    T-Excel, T-Decimal,Zone, Sta,  Spline, Val-Spl
%-------
1996-09-06, 02:00,  360.74,   0.06, 2, 35314.0833, 1996.6806, UTC, PSA,  360.07,    0.67
1996-09-09, 09:38,  360.73,   0.00, 2, 35317.4014, 1996.6896, UTC, PSA,  360.08,    0.65
1996-09-20, 22:05,  360.71,   0.05, 3, 35328.9201, 1996.7211, UTC, PSA,  360.12,    0.59
1996-09-29, 20:53,  360.92,   0.04, 3, 35337.8699, 1996.7455, UTC, PSA,  360.15,    0.78
1996-10-08, 22:20,  360.79,   0.02, 3, 35346.9306, 1996.7703, UTC, PSA,  360.18,    0.62
1996-10-21, 19:40,  360.75,   0.04, 2, 35359.8194, 1996.8055, UTC, PSA,  360.22,    0.54
1996-11-08, 14:58,  360.77,   0.03, 2, 35377.6233, 1996.8542, UTC, PSA,  360.28,    0.49
1996-11-28, 03:15,  360.67,   0.04, 2, 35397.1354, 1996.9075, UTC, PSA,  360.34,    0.33
1996-12-28, 19:20,  359.97,   0.24, 2, 35427.8056, 1996.9913, UTC, PSA,  360.45,   -0.48
1997-01-03, 15:45,  359.93,   0.03, 2, 35433.6562, 1997.0073, UTC, PSA,  360.47,   -0.54
1997-02-06, 00:57,  360.02,   0.03, 2, 35467.0399, 1997.0987, UTC, PSA,  360.58,   -0.56
1997-02-20, 23:00,  360.07,   0.10, 2, 35481.9583, 1997.1396, UTC, PSA,  360.63,   -0.56
1997-03-15, 17:27,  360.52,   0.07, 2, 35504.7269, 1997.2020, UTC, PSA,  360.71,   -0.19
1997-03-26, 17:30,  360.26,   0.02, 3, 35515.7292, 1997.2321, UTC, PSA,  360.75,   -0.49
1997-04-08, 16:25,  360.58,   0.02, 3, 35528.6840, 1997.2676, UTC, PSA,  360.80,   -0.22
1997-04-30, 20:55,  360.51,   0.04, 3, 35550.8713, 1997.3284, UTC, PSA,  360.88,   -0.37
1997-05-09, 21:13,  360.74,   0.10, 2, 35559.8840, 1997.3531, UTC, PSA,  360.91,   -0.17
1997-06-04, 15:57,  360.95,   0.03, 3, 35585.6644, 1997.4237, UTC, PSA,  361.01,   -0.06
1997-06-24, 20:57,  361.26,   0.03, 2, 35605.8726, 1997.4791, UTC, PSA,  361.10,    0.16
1997-07-12, 20:41,  361.17,   0.05, 3, 35623.8618, 1997.5284, UTC, PSA,  361.18,   -0.00
1997-07-19, 16:05,  361.32,   0.10, 2, 35630.6705, 1997.5470, UTC, PSA,  361.21,    0.11
1997-08-01, 02:05,  361.44,   0.02, 3, 35643.0870, 1997.5811, UTC, PSA,  361.27,    0.17
1997-08-13, 15:59,  361.91,   0.02, 3, 35655.6657, 1997.6155, UTC, PSA,  361.34,    0.57
1997-08-27, 15:48,  361.89,   0.02, 3, 35669.6581, 1997.6539, UTC, PSA,  361.42,    0.47
1997-09-14, 17:01,  362.00,   0.01, 2, 35687.7090, 1997.7033, UTC, PSA,  361.53,    0.47
1997-09-28, 16:28,  362.10,   0.02, 3, 35701.6863, 1997.7416, UTC, PSA,  361.61,    0.48
1997-10-20, 22:51,  362.34,   0.04, 3, 35723.9523, 1997.8026, UTC, PSA,  361.77,    0.57
