% Monthly averaged 2data for station CGO       
%
% /data/instrument/database_active/curves/cgoc.mon                                                
%
% Date   - Date of measurement
% Value  - Averaged measured concentration, ppm
%          Zero value indicates no data available
% SsnDtr - Averaged measured value with fitted seasonal cycle removed
% Fit    - Average determined from curve fit
% FitDtr - Average from curve fit with seasonal cycle removed
% Num    - Number of averages used in the monthly mean calculation
%
%    Date      Value     SsnDtr        Fit     FitDtr  Num
1991.0411   353.3246   353.5731   352.6821   352.9306    1
1991.1260     0.0000     0.0000   352.5880   352.9318    0
1991.2027   352.1714   352.6201   352.4854   352.9342    1
1991.2877   352.4411   352.8597   352.5217   352.9403    1
1991.3699   352.3957   352.6675   352.6795   352.9512    1
1991.4548   352.9811   353.0739   352.8752   352.9680    2
1991.5370   353.1755   352.9635   353.2017   352.9897    2
1991.6219   353.6082   353.1084   353.5179   353.0181    2
1991.7068   353.6708   353.1402   353.5837   353.0531    2
1991.7890     0.0000     0.0000   353.5195   353.0942    0
1991.8740   353.4069   353.1999   353.3528   353.1458    1
1991.9562   353.1927   353.2746   353.1241   353.2061    1
1992.0410   352.7433   352.9917   353.0326   353.2809    3
1992.1257   352.5178   352.8611   353.0268   353.3701    1
1992.2049   352.6471   353.0977   353.0158   353.4664    3
1992.2896   353.4344   353.8501   353.1646   353.5803    2
1992.3716   353.5795   353.8481   353.4276   353.6962    2
1992.4563   353.9352   354.0238   353.7275   353.8161    1
1992.5383   354.2477   354.0304   354.1461   353.9288    2
1992.6230   354.6492   354.1474   354.5408   354.0391    2
1992.7077   354.8421   354.3121   354.6710   354.1411    2
1992.7896   355.0043   354.5800   354.6551   354.2308    1
1992.8743   354.7611   354.5553   354.5196   354.3138    2
1992.9563   354.5241   354.6064   354.3034   354.3857    1
1993.0411   354.1863   354.4348   354.2055   354.4540    2
1993.1260   354.0555   354.3992   354.1755   354.5193    2
1993.2027   354.2798   354.7286   354.1295   354.5783    2
1993.2877   354.0453   354.4639   354.2275   354.6462    3
1993.3699   354.4635   354.7352   354.4452   354.7170    2
1993.4548   354.5145   354.6074   354.7046   354.7974    2
1993.5370   354.9684   354.7564   355.0958   354.8838    2
1993.6219   355.2455   354.7457   355.4821   354.9823    2
1993.7068   355.8575   355.3269   355.6199   355.0894    2
1993.7890   355.6347   355.2094   355.6251   355.1998    3
1993.8740   355.5801   355.3731   355.5272   355.3202    2
1993.9562   355.1841   355.2661   355.3606   355.4425    2
1994.0411   355.7425   355.9910   355.3261   355.5745    1
1994.1260   355.5390   355.8827   355.3678   355.7116    1
1994.2027   355.6222   356.0709   355.3909   355.8396    1
1994.2877   355.2154   355.6340   355.5684   355.9871    2
1994.3699   355.7494   356.0211   355.8645   356.1362    2
1994.4548   356.0587   356.1515   356.2039   356.2967    1
1994.5370   356.4744   356.2625   356.6687   356.4568    2
1994.6219   357.7294   357.2296   357.1244   356.6246    1
1994.7068   357.3723   356.8417   357.3231   356.7925    2
1994.7890   357.3227   356.8974   357.3792   356.9539    2
1994.8740   357.4373   357.2303   357.3252   357.1182    2
1994.9562   357.4660   357.5480   357.1919   357.2739    1
1995.0411   357.3372   357.5856   357.1821   357.4305    1
1995.1260   357.1411   357.4849   357.2393   357.5830    1
1995.2027   357.3971   357.8459   357.2690   357.7178    3
1995.2877   357.3910   357.8096   357.4459   357.8645    2
1995.3699   357.4662   357.7379   357.7337   358.0054    2
1995.4548   358.2496   358.3424   358.0586   358.1514    2
1995.5370   358.3532   358.1412   358.5055   358.2936    1
1995.6219   358.6746   358.1748   358.9418   358.4420    3
1995.7068   359.0327   358.5021   359.1223   358.5918    1
1995.7890   359.1643   358.7390   359.1615   358.7362    2
1995.8740   359.1619   358.9549   359.0893   358.8824    2
1995.9562   359.1655   359.2474   358.9366   359.0185    2
1996.0410   359.1330   359.3813   358.9037   359.1520    2
1996.1257   359.0373   359.3805   358.9347   359.2779    2
1996.2049   358.7914   359.2420   358.9393   359.3899    1
1996.2896   358.9823   359.3980   359.0893   359.5050    2
1996.3716   359.2528   359.5214   359.3444   359.6130    2
1996.4563   359.6584   359.7471   359.6332   359.7218    1
1996.5383   360.0142   359.7969   360.0416   359.8243    2
1996.6230   360.7529   360.2512   360.4284   359.9266    2
1996.7077   360.5397   360.0098   360.5556   360.0257    2
1996.7896   360.5060   360.0817   360.5445   360.1202    3
1996.8743   360.3921   360.1863   360.4241   360.2183    1
1996.9563   360.1592   360.2416   360.2329   360.3152    2
1997.0411   360.0474   360.2958   360.1704   360.4189    2
1997.1260   360.0049   360.3486   360.1833   360.5270    1
1997.2027   360.3419   360.7907   360.1799   360.6287    3
1997.2877   360.2775   360.6961   360.3270   360.7457    1
1997.3699   360.9409   361.2126   360.5920   360.8638    2
1997.4548   360.9376   361.0304   360.8996   360.9925    1
1997.5370   361.1497   360.9378   361.3381   361.1261    3
1997.6219   361.7801   361.2803   361.7758   361.2760    2
1997.7068   361.7968   361.2663   361.9698   361.4393    2
1997.7890   361.9731   361.5478   362.0368   361.6115    2
1997.8740   361.7345   361.5276   362.0117   361.8047    1
1997.9562   361.8021   361.8841   361.9242   362.0062    2
1998.0411   361.6027   361.8511   361.9798   362.2282    1
1998.1260   361.8555   362.1993   362.1186   362.4624    2
1998.2027   362.3611   362.8098   362.2326   362.6814    2
1998.2877   362.6865   363.1051   362.5089   362.9275    2
1998.3699   362.9334   363.2051   362.8938   363.1655    1
1998.4548   363.4070   363.4998   363.3155   363.4083    2
1998.5370   363.8055   363.5935   363.8495   363.6376    3
1998.6219   364.4363   363.9365   364.3660   363.8662    1
1998.7068   364.8125   364.2820   364.6144   364.0838    2
1998.7890   364.6988   364.2734   364.7068   364.2815    1
1998.8740   364.7659   364.5589   364.6782   364.4712    2
1998.9562   364.6570   364.7390   364.5575   364.6394    2
1999.0411   364.8967   365.1452   364.5485   364.7970    1
1999.1260   364.9430   365.2868   364.5946   364.9384    2
1999.2027   364.5935   365.0423   364.6049   365.0537    3
1999.2877   364.7514   365.1700   364.7522   365.1708    2
1999.3699   364.8623   365.1340   365.0053   365.2770    2
1999.4548   365.2112   365.3040   365.2902   365.3830    2
1999.5370   365.6449   365.4329   365.6965   365.4846    1
1999.6219   365.8228   365.3230   366.0906   365.5908    2
1999.7068   366.0974   365.5669   366.2304   365.6999    3
1999.7890   366.1930   365.7677   366.2336   365.8083    2
1999.8740   365.8710   365.6641   366.1294   365.9224    2
1999.9562   366.2233   366.3052   365.9511   366.0331    2
2000.0410   366.3872   366.6355   365.8966   366.1450    1
2000.1257   366.1221   366.4653   365.9096   366.2529    2
2000.2049   365.9423   366.3929   365.8997   366.3503    3
2000.2896   366.0834   366.4991   366.0364   366.4522    2
2000.3716   366.1473   366.4159   366.2820   366.5506    2
2000.4563   366.4401   366.5287   366.5657   366.6543    2
2000.5383   367.0092   366.7918   366.9752   366.7579    2
2000.6230   367.2753   366.7736   367.3713   366.8695    3
2000.7077   367.4206   366.8907   367.5166   366.9866    2
2000.7896   367.5678   367.1435   367.5296   367.1053    2
2000.8743   367.5127   367.3069   367.4385   367.2327    1
2000.9563   367.3558   367.4382   367.2780   367.3603    2
2001.0411   367.2396   367.4881   367.2481   367.4965    2
2001.1260   367.3092   367.6530   367.2938   367.6376    2
2001.2027   367.4246   367.8734   367.3205   367.7693    2
2001.2877   367.4643   367.8829   367.5015   367.9202    2
2001.3699   367.5871   367.8588   367.8003   368.0720    2
2001.4548   368.1837   368.2765   368.1429   368.2357    2
2001.5370   368.4998   368.2878   368.6128   368.4008    2
2001.6219   368.9283   368.4285   369.0776   368.5778    1
2001.7068   369.3763   368.8458   369.2910   368.7604    2
2001.7890   369.4267   369.0014   369.3664   368.9411    2
2001.8740   369.2071   369.0001   369.3378   369.1308    2
2001.9562   369.4298   369.5117   369.2347   369.3167    2
2002.0411     0.0000     0.0000   369.2620   369.5105    0
2002.1260   369.3687   369.7125   369.3619   369.7057    2
2002.2027   369.4471   369.8959   369.4343   369.8830    2
2002.2877   369.6015   370.0201   369.6619   370.0805    2
2002.3699   369.9188   370.1906   370.0009   370.2726    2
2002.4548   370.2652   370.3580   370.3791   370.4720    2
2002.5370   370.9783   370.7663   370.8769   370.6650    2
2002.6219   371.4859   370.9861   371.3627   370.8629    1
2002.7068   371.7660   371.2354   371.5883   371.0578    2
2002.7890   371.7580   371.3327   371.6683   371.2430    2
2002.8740   371.5457   371.3387   371.6385   371.4315    2
2002.9562   371.4080   371.4900   371.5299   371.6119    2
2003.0411   371.4926   371.7411   371.5482   371.7966    2
2003.1260   371.6145   371.9582   371.6356   371.9794    1
2003.2027   371.6244   372.0732   371.6935   372.1423    2
2003.2877   372.0401   372.4587   371.9007   372.3193    2
2003.3699   372.3399   372.6116   372.2145   372.4862    2
2003.4548   372.5297   372.6225   372.5608   372.6536    2
2003.5370   372.9909   372.7790   373.0231   372.8111    2
2003.6219   373.5714   373.0716   373.4695   372.9697    2
2003.7068   373.8145   373.2839   373.6550   373.1244    2
2003.7890   373.5574   373.1321   373.6966   373.2713    2
2003.8740   373.5799   373.3730   373.6287   373.4217    2
2003.9562   373.5227   373.6046   373.4846   373.5666    1
2004.0410   373.1986   373.4469   373.4675   373.7158    2
2004.1257   373.4324   373.7756   373.5212   373.8644    2
2004.2049   373.7790   374.2296   373.5515   374.0021    3
2004.2896   373.6794   374.0951   373.7309   374.1466    2
2004.3716   374.0004   374.2690   374.0153   374.2839    3
2004.4563   374.5530   374.6416   374.3348   374.4234    3
2004.5383   375.0096   374.7923   374.7742   374.5568    2
2004.6230   375.3478   374.8460   375.1969   374.6951    2
2004.7077   375.0541   374.5242   375.3676   374.8377    2
