% Monthly averaged 2data for station SPO       
%
% /data/instrument/database_active/curves/spoc.mon                                                
%
% Date   - Date of measurement
% Value  - Averaged measured concentration, ppm
%          Zero value indicates no data available
% SsnDtr - Averaged measured value with fitted seasonal cycle removed
% Fit    - Average determined from curve fit
% FitDtr - Average from curve fit with seasonal cycle removed
% Num    - Number of averages used in the monthly mean calculation
%
%    Date      Value     SsnDtr        Fit     FitDtr  Num
1991.0411     0.0000     0.0000   352.4449   352.4837    0
1991.1260     0.0000     0.0000   352.1876   352.5741    0
1991.2027     0.0000     0.0000   352.0501   352.6558    0
1991.2877     0.0000     0.0000   352.2299   352.7462    0
1991.3699     0.0000     0.0000   352.4608   352.8337    0
1991.4548     0.0000     0.0000   352.7005   352.9241    0
1991.5370     0.0000     0.0000   353.1168   353.0117    0
1991.6219     0.0000     0.0000   353.5355   353.1021    0
1991.7068     0.0000     0.0000   353.7510   353.1925    0
1991.7890     0.0000     0.0000   353.8009   353.2800    0
1991.8740   353.7517   353.4184   353.7037   353.3704    1
1991.9562   353.6281   353.4795   353.6066   353.4580    1
1992.0410   353.3882   353.4266   353.5102   353.5486    1
1992.1257     0.0000     0.0000   353.2546   353.6396    0
1992.2049     0.0000     0.0000   353.1174   353.7248    0
1992.2896     0.0000     0.0000   353.3034   353.8156    0
1992.3716     0.0000     0.0000   353.5324   353.9031    0
1992.4563     0.0000     0.0000   353.7734   353.9928    0
1992.5383     0.0000     0.0000   354.1895   354.0785    0
1992.6230     0.0000     0.0000   354.6019   354.1658    0
1992.7077     0.0000     0.0000   354.8102   354.2513    0
1992.7896     0.0000     0.0000   354.8523   354.3322    0
1992.8743   354.9492   354.6167   354.7460   354.4136    1
1992.9563   354.6848   354.5364   354.6384   354.4900    1
1993.0411   354.5273   354.5661   354.5284   354.5672    1
1993.1260     0.0000     0.0000   354.2574   354.6439    0
1993.2027     0.0000     0.0000   354.1078   354.7135    0
1993.2877   354.2898   354.8061   354.2757   354.7920    1
1993.3699   354.4609   354.8338   354.4975   354.8704    1
1993.4548   354.6076   354.8313   354.7315   354.9552    1
1993.5370   355.0623   354.9572   355.1469   355.0418    1
1993.6219   355.5891   355.1557   355.5697   355.1363    1
1993.7068   355.9351   355.3766   355.7944   355.2359    1
1993.7890   355.9313   355.4104   355.8580   355.3371    1
