% Monthly averaged 2data for station LJO       
%
% /data/instrument/database_active/curves/ljoc.mon                                                
%
% Date   - Date of measurement
% Value  - Averaged measured concentration, ppm
%          Zero value indicates no data available
% SsnDtr - Averaged measured value with fitted seasonal cycle removed
% Fit    - Average determined from curve fit
% FitDtr - Average from curve fit with seasonal cycle removed
% Num    - Number of averages used in the monthly mean calculation
%
%    Date      Value     SsnDtr        Fit     FitDtr  Num
1989.0411     0.0000     0.0000   355.4642   353.5791    0
1989.1260     0.0000     0.0000   356.4644   353.6959    0
1989.2027     0.0000     0.0000   357.1725   353.8014    0
1989.2877     0.0000     0.0000   357.7311   353.9182    0
1989.3699   358.7710   354.7551   358.0471   354.0312    1
1989.4548   355.7788   354.0576   355.8694   354.1481    1
1989.5370     0.0000     0.0000   351.0544   354.2618    0
1989.6219   346.6759   353.3548   347.7015   354.3803    1
1989.7068   347.4549   353.2523   348.7026   354.5000    1
1989.7890     0.0000     0.0000   351.8478   354.6165    0
1989.8740   354.0410   354.0913   354.6863   354.7366    1
1989.9562     0.0000     0.0000   356.0821   354.8513    0
1990.0411   359.3639   357.4788   356.8522   354.9671    1
1990.1260     0.0000     0.0000   357.8476   355.0791    0
1990.2027     0.0000     0.0000   358.5482   355.1771    0
1990.2877     0.0000     0.0000   359.0952   355.2823    0
1990.3699     0.0000     0.0000   359.3968   355.3809    0
1990.4548     0.0000     0.0000   357.2009   355.4796    0
1990.5370     0.0000     0.0000   352.3649   355.5723    0
1990.6219     0.0000     0.0000   348.9864   355.6652    0
1990.7068     0.0000     0.0000   349.9580   355.7554    0
1990.7890     0.0000     0.0000   353.0716   355.8403    0
1990.8740     0.0000     0.0000   355.8753   355.9256    0
1990.9562   356.3835   355.1527   357.2368   356.0060    2
1991.0411     0.0000     0.0000   357.9720   356.0869    0
1991.1260   360.0040   357.2355   358.9332   356.1647    1
1991.2027   359.8982   356.5271   359.6027   356.2316    1
1991.2877   359.8740   356.0611   360.1142   356.3013    3
1991.3699   359.8189   355.8030   360.3801   356.3641    2
1991.4548   356.9060   355.1848   358.1447   356.4235    2
1991.5370   354.8411   358.0485   353.2667   356.4742    2
1991.6219   349.5030   356.1818   349.8383   356.5171    2
1991.7068   353.1934   358.9908   350.7513   356.5488    1
1991.7890   355.0798   357.8486   353.7994   356.5681    3
1991.8740   356.6391   356.6894   356.5269   356.5772    1
1991.9562   357.3016   356.0708   357.8090   356.5782    1
1992.0410   358.9951   357.1110   358.4583   356.5742    2
1992.1257   358.7760   356.0111   359.3331   356.5682    3
1992.2049   359.4622   356.0796   359.9462   356.5636    4
1992.2896   360.5012   356.6765   360.3865   356.5618    2
1992.3716   360.6705   356.6665   360.5683   356.5643    2
1992.4563   358.7808   357.1331   358.2203   356.5725    3
1992.5383   352.7275   356.0115   353.3029   356.5870    2
1992.6230   349.5151   356.2089   349.9167   356.6105    2
1992.7077     0.0000     0.0000   350.8714   356.6446    0
1992.7896   353.5383   356.2850   353.9421   356.6889    3
1992.8743     0.0000     0.0000   356.7047   356.7468    0
1992.9563   358.1791   356.9472   358.0469   356.8150    3
1993.0411   357.7421   355.8570   358.7837   356.8986    2
1993.1260   359.4653   356.6968   359.7645   356.9960    2
1993.2027   359.9232   356.5521   360.4661   357.0951    2
1993.2877   360.8604   357.0475   361.0287   357.2158    3
1993.3699   361.7550   357.7391   361.3578   357.3419    5
