%-------
%
% Cape Grim Australia CGO (41S 150E).
% Replicate sample mean Siemens CO2 values.
% Aspirated and Non-aspirated
%
% ************************************************************
%    From archive dated 08-Nov-2018 17:00:58
% ************************************************************
%
% This files contains the average of flask replicates collected on a given day.
% Flasks identified as outliers during workup or that are more than 0.25ppm from sample
% mean are flagged as outliers and excluded from average
%
% COLUMN DEFINITIONS:
% Columns 1 and 2 are the sampling date and time (UTC). 
%
% Column 3 is the Siemens CO2 replicate mean value in ppm
%
% Column 4 is the standard deviation of the retained replications
%
% Column 5 is the number of retained replicates
%
% Columns 6 and 7 are the dates Excel and decimal formats. 
%
% Column 8 is a flag for identifying uncertainty in the reported sampling time.
%   All sampling date/times are nominally corrected to UTC. But in some cases
%   the relevant correction is uncertain due to incomplete information on the
%   original sample log sheets. In this case Column 8 gives the (assumed)
%   correction applied (in hours). The flag is otherwise set to"UTC" indicating
%   that the time is not uncertain.
%
% Column 9 is a 3-letter station identifier.
%
% Column 10 is the value of a stiff spline fitted through the data
%
% Column 11 is the difference between the data and the stiff spline
%
%     Date,  Time,   Value,    StD, N,    T-Excel, T-Decimal,Zone, Sta,  Spline, Val-Spl
%-------
1991-01-24, 07:04,  353.30,   0.15, 3, 33262.2942, 1991.0638, UTC, CGO,  352.93,    0.37
1991-03-27, 02:41,  352.16,   0.06, 6, 33324.1122, 1991.2332, -10, CGO,  352.94,   -0.78
1991-04-17, 02:58,  352.45,   0.04, 3, 33345.1236, 1991.2907, -10, CGO,  352.94,   -0.49
1991-05-03, 04:29,  352.33,   0.00, 2, 33361.1868, 1991.3348, -10, CGO,  352.95,   -0.62
1991-06-14, 04:25,  352.83,   0.03, 2, 33403.1840, 1991.4498, -10, CGO,  352.97,   -0.14
1991-06-18, 01:17,  353.15,   0.03, 3, 33407.0535, 1991.4604, -10, CGO,  352.97,    0.18
1991-07-15, 05:33,  353.14,   0.00, 2, 33434.2312, 1991.5349, -10, CGO,  352.99,    0.15
1991-07-23, 05:54,  353.31,   0.02, 3, 33442.2458, 1991.5568, -10, CGO,  353.00,    0.32
1991-08-06, 05:24,  353.46,   0.00, 2, 33456.2250, 1991.5951, -10, CGO,  353.01,    0.45
1991-08-21, 05:13,  353.72,   0.04, 2, 33471.2174, 1991.6362, -10, CGO,  353.02,    0.69
1991-09-11, 05:36,  353.77,   0.02, 3, 33492.2333, 1991.6938, -10, CGO,  353.05,    0.72
1991-09-30, 04:12,  353.55,   0.03, 3, 33511.1750, 1991.7457, -10, CGO,  353.07,    0.48
1991-11-21, 01:51,  353.36,   0.07, 3, 33563.0771, 1991.8879, -10, CGO,  353.16,    0.20
1991-12-04, 01:31,  353.27,   0.00, 3, 33576.0632, 1991.9235, -10, CGO,  353.18,    0.09
1992-01-14, 00:41,  352.66,   0.00, 2, 33617.0285, 1992.0356, -10, CGO,  353.28,   -0.62
1992-01-23, 04:07,  353.02,   0.00, 2, 33626.1715, 1992.0606, -10, CGO,  353.30,   -0.28
1992-01-28, 04:35,  352.55,   0.01, 3, 33631.1910, 1992.0743, -10, CGO,  353.31,   -0.77
