%-------
%
% Mauna Loa Hawaii MLO (20N 156W).
% Replicate sample mean Siemens CO2 values.
% Aspirated and Non-aspirated
%
% ************************************************************
%    From archive dated 08-Nov-2018 17:00:58
% ************************************************************
%
% This files contains the average of flask replicates collected on a given day.
% Flasks identified as outliers during workup or that are more than 0.25ppm from sample
% mean are flagged as outliers and excluded from average
%
% COLUMN DEFINITIONS:
% Columns 1 and 2 are the sampling date and time (UTC). 
%
% Column 3 is the Siemens CO2 replicate mean value in ppm
%
% Column 4 is the standard deviation of the retained replications
%
% Column 5 is the number of retained replicates
%
% Columns 6 and 7 are the dates Excel and decimal formats. 
%
% Column 8 is a flag for identifying uncertainty in the reported sampling time.
%   All sampling date/times are nominally corrected to UTC. But in some cases
%   the relevant correction is uncertain due to incomplete information on the
%   original sample log sheets. In this case Column 8 gives the (assumed)
%   correction applied (in hours). The flag is otherwise set to"UTC" indicating
%   that the time is not uncertain.
%
% Column 9 is a 3-letter station identifier.
%
% Column 10 is the value of a stiff spline fitted through the data
%
% Column 11 is the difference between the data and the stiff spline
%
%     Date,  Time,   Value,    StD, N,    T-Excel, T-Decimal,Zone, Sta,  Spline, Val-Spl
%-------
1991-01-19, 23:35,  356.16,   0.05, 3, 33257.9826, 1991.0520, UTC, MLO,  355.60,    0.56
1991-04-04, 19:33,  357.80,   0.04, 3, 33332.8146, 1991.2570, UTC, MLO,  355.66,    2.14
1991-04-18, 20:15,  358.75,   0.13, 2, 33346.8438, 1991.2955, UTC, MLO,  355.67,    3.08
1991-05-03, 19:30,  358.71,   0.15, 3, 33361.8125, 1991.3365,  10, MLO,  355.68,    3.04
1991-05-16, 19:18,  359.85,   0.05, 3, 33374.8042, 1991.3721, UTC, MLO,  355.69,    4.16
1991-05-30, 20:11,  358.92,   0.00, 3, 33388.8410, 1991.4105, UTC, MLO,  355.70,    3.22
1991-06-27, 19:41,  357.59,   0.05, 3, 33416.8201, 1991.4872, UTC, MLO,  355.72,    1.87
1991-07-18, 19:57,  355.52,   0.00, 2, 33437.8313, 1991.5447,  10, MLO,  355.74,   -0.22
1991-07-31, 19:07,  354.63,   0.04, 3, 33450.7965, 1991.5803,  10, MLO,  355.75,   -1.12
1991-11-07, 21:22,  353.82,   0.08, 2, 33549.8903, 1991.8518, UTC, MLO,  355.86,   -2.03
1991-11-21, 21:33,  353.73,   0.00, 3, 33563.8979, 1991.8901, UTC, MLO,  355.87,   -2.14
1991-12-05, 19:21,  354.48,   0.02, 3, 33577.8063, 1991.9282, UTC, MLO,  355.89,   -1.42
1991-12-18, 20:51,  354.86,   0.05, 3, 33590.8688, 1991.9640, UTC, MLO,  355.91,   -1.05
1992-01-02, 19:20,  355.58,   0.00, 3, 33605.8056, 1992.0049, UTC, MLO,  355.93,   -0.35
1992-01-17, 18:55,  356.51,   0.07, 3, 33620.7882, 1992.0459, UTC, MLO,  355.95,    0.56
