% Monthly averaged 2data for station SAM       
%
% /data/instrument/database_active/curves/samc.mon                                                
%
% Date   - Date of measurement
% Value  - Averaged measured concentration, ppm
%          Zero value indicates no data available
% SsnDtr - Averaged measured value with fitted seasonal cycle removed
% Fit    - Average determined from curve fit
% FitDtr - Average from curve fit with seasonal cycle removed
% Num    - Number of averages used in the monthly mean calculation
%
%    Date      Value     SsnDtr        Fit     FitDtr  Num
1993.0411     0.0000     0.0000   355.7381   355.2150    0
1993.1260     0.0000     0.0000   355.9778   355.3241    0
1993.2027     0.0000     0.0000   355.9136   355.4226    0
1993.2877     0.0000     0.0000   355.6318   355.5317    0
1993.3699     0.0000     0.0000   355.3179   355.6372    0
1993.4548   355.4100   355.7609   355.3955   355.7463    1
1993.5370   355.3302   355.3858   355.7963   355.8519    2
1993.6219   356.3129   356.4559   355.8176   355.9607    3
1993.7068   356.0236   356.5204   355.5718   356.0686    1
1993.7890   355.9167   356.3585   355.7311   356.1729    2
1993.8740   355.9808   356.0984   356.1641   356.2817    2
1993.9562   356.7760   356.5871   356.5786   356.3897    3
1994.0411   356.8359   356.3128   357.0292   356.5061    2
1994.1260   357.0972   356.4435   357.2831   356.6294    1
1994.2027   356.7813   356.2903   357.2392   356.7482    2
1994.2877   356.5930   356.4929   356.9894   356.8893    2
1994.3699   356.2343   356.5536   356.7164   357.0357    2
1994.4548   357.3560   357.7069   356.8453   357.1961    1
1994.5370   357.4784   357.5340   357.3029   357.3585    2
1994.6219   357.2923   357.4353   357.3891   357.5322    2
1994.7068   357.3508   357.8476   357.2139   357.7107    2
1994.7890   357.4600   357.9018   357.4451   357.8869    2
1994.8740   357.9632   358.0808   357.9537   358.0713    2
1994.9562   358.7583   358.5694   358.4401   358.2513    1
1995.0411   358.8104   358.2873   358.9609   358.4378    2
1995.1260   359.1779   358.5242   359.2779   358.6242    2
1995.2027   358.9943   358.5033   359.2828   358.7918    2
1995.2877   358.8931   358.7930   359.0753   358.9752    2
1995.3699   359.4692   359.7885   358.8297   359.1491    2
1995.4548   359.1680   359.5188   358.9724   359.3233    2
1995.5370   359.5247   359.5803   359.4302   359.4858    1
1995.6219   359.4487   359.5918   359.5045   359.6475    3
1995.7068   359.2156   359.7124   359.3059   359.8027    2
1995.7890   359.5466   359.9884   359.5048   359.9466    2
1995.8740   359.8737   359.9913   359.9708   360.0884    1
1995.9562   360.5369   360.3481   360.4073   360.2185    1
1996.0410   361.2948   360.7721   360.8677   360.3449    2
1996.1257   361.0671   360.4132   361.1169   360.4630    2
1996.2049   362.2913   361.8079   361.0501   360.5667    1
1996.2896   359.8702   359.7809   360.7610   360.6716    2
1996.3716   360.5964   360.9220   360.4432   360.7688    2
1996.4563   360.5941   360.9406   360.5189   360.8654    1
1996.5383   361.0839   361.1365   360.9032   360.9557    1
1996.6230   360.9189   361.0662   360.8990   361.0464    2
1996.7077   360.5559   361.0546   360.6364   361.1351    1
1996.7896   360.7620   361.2020   360.7801   361.2201    2
1996.8743   361.3734   361.4897   361.1913   361.3077    2
1996.9563   361.4375   361.2481   361.5822   361.3928    2
1997.0411   362.2835   361.7604   362.0056   361.4824    2
1997.1260   362.0181   361.3643   362.2285   361.5748    2
1997.2027   362.3166   361.8255   362.1527   361.6616    3
1997.2877   362.5130   362.4129   361.8631   361.7630    2
1997.3699   361.1164   361.4358   361.5490   361.8684    2
1997.4548   361.2378   361.5886   361.6369   361.9878    2
1997.5370   361.7818   361.8374   362.0603   362.1158    2
1997.6219   361.3226   361.4656   362.1191   362.2621    2
1997.7068   362.1688   362.6657   361.9258   362.4226    2
1997.7890   362.4383   362.8801   362.1484   362.5902    2
1997.8740   363.0875   363.2051   362.6573   362.7749    2
1997.9562   363.1318   362.9430   363.1534   362.9646    2
1998.0411   363.3287   362.8056   363.6958   363.1727    1
1998.1260   362.9069   362.2532   364.0477   363.3940    1
1998.2027   363.4727   362.9816   364.0959   363.6049    3
1998.2877   363.3161   363.2160   363.9489   363.8488    1
1998.3699   363.6445   363.9639   363.7726   364.0919    2
1998.4548   364.5088   364.8597   363.9947   364.3455    3
1998.5370   364.7144   364.7700   364.5330   364.5886    1
1998.6219   364.8732   365.0162   364.6906   364.8336    3
1998.7068   365.0700   365.5668   364.5727   365.0695    1
1998.7890   365.4534   365.8952   364.8449   365.2867    2
1998.8740   365.5798   365.6975   365.3810   365.4986    2
