"","year","station_maybe","Value","SsnDtr","Fit","FitDtr","Num","Source"
"1","1989","0411",0,0,-65.2609,-59.5671,0,"altt"
"2","1989","126",0,0,-77.2826,-60.4866,0,"altt"
"3","1989","2027",0,0,-85.4673,-61.317,0,"altt"
"4","1989","2877",0,0,-86.3349,-62.2364,0,"altt"
"5","1989","3699",0,0,-77.5951,-63.1262,0,"altt"
"6","1989","4548",0,0,-63.1061,-64.0456,0,"altt"
"7","1989","537",0,0,-50.974,-64.9353,0,"altt"
"8","1989","6219",0,0,-45.5739,-65.8547,0,"altt"
"9","1989","7068",0,0,-47.3261,-66.7742,0,"altt"
"10","1989","789",0,0,-52.43,-67.6639,0,"altt"
"11","1989","874",-64.097,-74.0984,-58.5819,-68.5833,1,"altt"
"12","1989","9562",-60.7715,-64.4476,-65.7974,-69.4735,1,"altt"
"13","1990","0411",0,0,-76.092,-70.3983,0,"altt"
"14","1990","126",0,0,-88.1262,-71.3302,0,"altt"
"15","1990","2027",0,0,-96.3294,-72.1791,0,"altt"
"16","1990","2877",0,0,-97.2268,-73.1283,0,"altt"
"17","1990","3699",0,0,-88.5264,-74.0575,0,"altt"
"18","1990","4548",0,0,-74.0904,-75.0298,0,"altt"
"19","1990","537",0,0,-62.0226,-75.9839,0,"altt"
"20","1990","6219",0,0,-56.7039,-76.9847,0,"altt"
"21","1990","7068",0,0,-58.5539,-78.0019,0,"altt"
"22","1990","789",0,0,-63.7695,-79.0033,0,"altt"
"23","1990","874",0,0,-70.0555,-80.057,0,"altt"
"24","1990","9562",0,0,-77.42,-81.0961,0,"altt"
"25","1991","0411",0,0,-87.8852,-82.1915,0,"altt"
"26","1991","126",0,0,-100.106,-83.31,0,"altt"
"27","1991","2027",0,0,-108.4917,-84.3414,0,"altt"
"28","1991","2877",-107.6823,-83.5838,-109.6063,-85.5078,1,"altt"
"29","1991","3699",-98.2195,-83.7506,-101.1313,-86.6624,2,"altt"
"30","1991","4548",-92.2505,-93.1899,-86.9424,-87.8818,1,"altt"
"31","1991","537",-74.5614,-88.5227,-75.114,-89.0753,2,"altt"
"32","1991","6219",-66.3853,-86.6661,-70.028,-90.3088,3,"altt"
"33","1991","7068",-74.8788,-94.3269,-72.0787,-91.5268,1,"altt"
"34","1991","789",-73.3695,-88.6033,-77.4287,-92.6625,1,"altt"
"35","1991","874",-84.8354,-94.8369,-83.7586,-93.76,2,"altt"
"36","1991","9562",-90.5202,-94.1963,-91.0402,-94.7164,2,"altt"
"37","1992","041",-107.5553,-101.8758,-101.2409,-95.5614,2,"altt"
"38","1992","1257",-116.2517,-99.4982,-112.9905,-96.237,1,"altt"
"39","1992","2049",-126.3086,-102.0347,-120.9836,-96.7097,2,"altt"
"40","1992","2896",-126.3441,-102.3707,-121.0201,-97.0467,2,"altt"
"41","1992","3716",-114.462,-100.2739,-111.4195,-97.2314,2,"altt"
"42","1992","4563",-89.9001,-91.1134,-96.1258,-97.3391,2,"altt"
"43","1992","5383",-77.1969,-91.3121,-83.3236,-97.4388,2,"altt"
"44","1992","623",-79.4678,-99.776,-77.2803,-97.5885,3,"altt"
"45","1992","7077",-78.0882,-97.5052,-78.3896,-97.8066,2,"altt"
"46","1992","7896",-77.9836,-93.1837,-82.9043,-98.1045,2,"altt"
"47","1992","8743",-88.199,-98.1777,-88.5458,-98.5245,2,"altt"
"48","1992","9563",-94.5615,-98.2266,-95.3817,-99.0468,3,"altt"
"49","1993","0411",-99.1668,-93.4731,-105.4049,-99.7111,1,"altt"
"50","1993","126",-114.7406,-97.9445,-117.3017,-100.5057,2,"altt"
"51","1993","2027",-123.0988,-98.9485,-125.4653,-101.315,2,"altt"
"52","1993","2877",-130.0586,-105.9601,-126.3761,-102.2776,3,"altt"
"53","1993","3699",-116.7923,-102.3234,-117.6988,-103.2298,2,"altt"
"54","1993","4548",-101.538,-102.4774,-103.2592,-104.1987,2,"altt"
"55","1993","537",-85.5493,-99.5106,-91.1351,-105.0964,2,"altt"
"56","1993","6219",-93.6998,-113.9806,-85.6658,-105.9466,4,"altt"
"57","1993","7068",-89.8539,-109.302,-87.2268,-106.6749,3,"altt"
"58","1993","789",-90.0833,-105.3172,-92.0382,-107.2721,2,"altt"
"59","1993","874",-96.8952,-106.8967,-97.8131,-107.8145,2,"altt"
"60","1993","9562",-105.3294,-109.0055,-104.6266,-108.3027,2,"altt"
"61","1994","0411",-113.0187,-107.325,-114.4979,-108.8041,2,"altt"
"62","1994","126",-125.9655,-109.1695,-126.1321,-109.336,2,"altt"
"63","1994","2027",-132.3063,-108.156,-134.0145,-109.8642,3,"altt"
"64","1994","2877",-134.7237,-110.6252,-134.6139,-110.5154,2,"altt"
