% Monthly averaged 12data for station LJO       
%
% /data/instrument/database_active/curves/ljot.mon                                                
%
% Date   - Date of measurement
% Value  - Averaged measured concentration, ppm
%          Zero value indicates no data available
% SsnDtr - Averaged measured value with fitted seasonal cycle removed
% Fit    - Average determined from curve fit
% FitDtr - Average from curve fit with seasonal cycle removed
% Num    - Number of averages used in the monthly mean calculation
%
%    Date      Value     SsnDtr        Fit     FitDtr  Num
1989.0411     0.0000     0.0000   -70.7310   -52.3529    0
1989.1260     0.0000     0.0000   -78.3915   -54.1419    0
1989.2027     0.0000     0.0000   -81.4833   -55.7579    0
1989.2877     0.0000     0.0000   -77.7014   -57.5469    0
1989.3699   -62.9255   -56.0672   -66.1366   -59.2783    1
1989.4548   -47.5350   -58.5163   -50.0841   -61.0654    1
1989.5370     0.0000     0.0000   -37.7412   -62.7864    0
1989.6219   -28.8577   -58.9113   -34.4912   -64.5448    1
1989.7068   -40.7650   -65.1955   -41.8338   -66.2642    1
1989.7890     0.0000     0.0000   -54.9676   -67.8662    0
1989.8740   -76.0250   -76.1776   -69.2769   -69.4295    1
1989.9562     0.0000     0.0000   -80.9346   -70.8271    0
1990.0411  -102.2496   -83.8714   -90.5119   -72.1338    1
1990.1260     0.0000     0.0000   -97.5483   -73.2988    0
1990.2027     0.0000     0.0000   -99.9655   -74.2400    0
1990.2877     0.0000     0.0000   -95.3265   -75.1720    0
1990.3699     0.0000     0.0000   -82.8348   -75.9765    0
1990.4548     0.0000     0.0000   -65.7395   -76.7208    0
1990.5370     0.0000     0.0000   -52.3246   -77.3698    0
1990.6219     0.0000     0.0000   -47.9269   -77.9804    0
1990.7068     0.0000     0.0000   -54.1135   -78.5439    0
1990.7890     0.0000     0.0000   -66.1588   -79.0574    0
1990.8740     0.0000     0.0000   -79.4163   -79.5688    0
1990.9562   -86.1955   -76.0879   -90.1657   -80.0582    2
1991.0411     0.0000     0.0000   -98.9456   -80.5674    0
1991.1260  -106.2201   -81.9706  -105.3273   -81.0778    1
1991.2027  -104.4630   -78.7375  -107.2616   -81.5361    1
1991.2877  -102.6567   -82.5022  -102.1908   -82.0363    3
1991.3699   -86.9302   -80.0718   -89.3629   -82.5045    2
1991.4548   -69.6486   -80.6299   -71.9767   -82.9580    2
1991.5370   -75.4663  -100.5115   -58.3040   -83.3492    1
1991.6219   -54.6366   -84.6901   -53.6315   -83.6850    2
1991.7068   -67.5982   -92.0286   -59.5180   -83.9485    1
1991.7890   -72.8869   -85.7855   -71.2487   -84.1473    3
1991.8740   -84.5388   -84.6914   -84.1787   -84.3313    1
1991.9562   -95.4200   -85.3125   -94.6391   -84.5315    1
1992.0410  -101.0797   -82.7112  -103.1758   -84.8073    2
1992.1257  -108.2567   -84.0240  -109.4295   -85.1968    3
1992.2049  -105.1200   -79.4321  -111.3860   -85.6981    4
1992.2896  -100.5570   -80.6332  -106.3253   -86.4014    2
1992.3716   -93.0216   -86.5055   -93.7516   -87.2355    2
1992.4563   -74.2828   -85.5700   -76.9272   -88.2144    2
1992.5383   -68.2132   -93.4140   -64.0198   -89.2205    2
1992.6230   -71.5198  -101.5644   -60.2139   -90.2585    2
1992.7077     0.0000     0.0000   -66.9038   -91.2417    0
1992.7896   -76.9791   -89.7887   -79.3128   -92.1225    3
1992.8743     0.0000     0.0000   -92.8591   -92.9636    0
1992.9563  -114.0528  -103.9321  -103.8285   -93.7078    3
1993.0411  -108.6168   -90.2387  -112.7786   -94.4005    2
1993.1260  -114.3870   -90.1374  -119.2978   -95.0482    2
1993.2027  -113.4864   -87.7609  -121.3494   -95.6239    2
1993.2877  -120.7618  -100.6073  -116.4225   -96.2680    3
1993.3699  -100.1060   -93.2476  -103.7554   -96.8971    5
1993.4548   -82.1225   -93.1037   -86.5715   -97.5528    3
1993.5370   -77.7904  -102.8356   -73.1274   -98.1725    6
1993.6219   -67.1345   -97.1880   -68.7047   -98.7583    2
1993.7068   -81.1700  -105.6004   -74.8411   -99.2716    2
1993.7890   -89.9477  -102.8463   -86.8036   -99.7022    3
1993.8740   -94.2664   -94.4190   -99.9519  -100.1045    2
1993.9562  -110.6260  -100.5185  -110.5945  -100.4870    1
1994.0411  -118.2328   -99.8546  -119.2746  -100.8964    3
1994.1260  -127.8511  -103.6016  -125.5867  -101.3372    2
1994.2027  -122.7354   -97.0100  -127.4991  -101.7737    3
1994.2877  -123.0148  -102.8604  -122.4676  -102.3132    4
1994.3699  -112.7785  -105.9202  -109.7474  -102.8890    3
1994.4548   -87.9604   -98.9417   -92.5539  -103.5351    3
1994.5370   -77.3764  -102.4215   -79.1657  -104.2109    4
1994.6219   -69.7487   -99.8023   -74.8899  -104.9434    3
1994.7068   -81.0853  -105.5158   -81.2444  -105.6748    3
1994.7890   -94.8239  -107.7224   -93.4257  -106.3243    5
1994.8740  -115.0671  -115.2197  -106.7182  -106.8708    4
1994.9562  -124.8541  -114.7466  -117.3455  -107.2379    3
1995.0411  -130.9582  -112.5801  -125.8513  -107.4731    3
1995.1260  -123.4917   -99.2422  -131.8875  -107.6380    2
1995.2027  -131.7837  -106.0582  -133.5359  -107.8105    2
1995.2877  -120.5398  -100.3853  -128.2557  -108.1013    3
1995.3699  -111.6623  -104.8040  -115.3913  -108.5330    3
1995.4548  -101.3183  -112.2995   -98.1736  -109.1549    3
1995.5370   -80.4849  -105.5301   -84.8710  -109.9161    3
1995.6219   -84.4724  -114.5259   -80.8071  -110.8606    2
1995.7068   -85.7299  -110.1603   -87.5195  -111.9499    5
1995.7890   -95.4901  -108.3887  -100.2274  -113.1260    2
1995.8740  -105.9914  -106.1440  -114.2890  -114.4416    1
1995.9562  -138.1310  -128.0234  -125.8779  -115.7703    1
1996.0410  -138.3651  -119.9965  -135.5080  -117.1394    4
1996.1257  -145.7946  -121.5618  -142.6983  -118.4656    3
1996.2049  -146.8165  -121.1286  -145.3343  -119.6464    2
1996.2896  -135.4975  -115.5736  -140.7607  -120.8369    3
1996.3716  -126.4735  -119.9574  -128.4346  -121.9184    4
1996.4563  -121.5645  -132.8516  -111.6471  -122.9342    2
1996.5383     0.0000     0.0000   -98.5778  -123.7786    0
1996.6230   -99.4860  -129.5306   -94.4532  -124.4978    4
1996.7077   -98.8852  -123.2231  -100.7407  -125.0786    3
1996.7896  -114.6899  -127.4995  -112.7376  -125.5472    2
1996.8743  -118.7587  -118.8632  -125.8713  -125.9758    1
1996.9563  -130.9363  -120.8156  -136.4998  -126.3790    1
1997.0411  -140.4329  -122.0548  -145.1936  -126.8154    3
1997.1260  -155.5011  -131.2516  -151.5332  -127.2837    2
1997.2027  -146.0768  -120.3513  -153.4516  -127.7261    2
1997.2877  -151.4588  -131.3043  -148.3845  -128.2300    3
1997.3699  -131.2599  -124.4015  -135.5730  -128.7147    2
1997.4548  -120.5300  -131.5113  -118.2071  -129.1884    3
1997.5370  -111.0370  -136.0822  -104.5517  -129.5968    3
1997.6219   -98.0654  -128.1190   -99.8981  -129.9517    2
1997.7068  -102.3747  -126.8052  -105.8267  -130.2571    3
1997.7890  -121.9529  -134.8515  -117.6268  -130.5254    3
1997.8740  -125.6128  -125.7654  -130.6314  -130.7840    1
1997.9562  -135.0440  -124.9364  -141.1452  -131.0377    1
1998.0411  -147.6649  -129.2868  -149.6964  -131.3183    2
1998.1260  -154.9157  -130.6662  -155.8719  -131.6224    2
1998.2027  -157.2120  -131.4866  -157.6429  -131.9175    3
1998.2877  -155.2977  -135.1432  -152.4171  -132.2626    2
1998.3699  -141.8305  -134.9722  -139.4725  -132.6141    2
1998.4548  -117.6644  -128.6457  -122.0176  -132.9988    1
1998.5370  -101.3911  -126.4363  -108.3526  -133.3978    2
1998.6219  -114.4432  -144.4968  -103.7821  -133.8356    1
1998.7068  -115.3203  -139.7508  -109.8490  -134.2794    1
1998.7890  -126.5636  -139.4622  -121.8022  -134.7008    1
1998.8740     0.0000     0.0000  -134.9797  -135.1323    0
1998.9562     0.0000     0.0000  -145.6684  -135.5609    0
