% Monthly averaged 12data for station SPO       
%
% /data/instrument/database_active/curves/spot.mon                                                
%
% Date   - Date of measurement
% Value  - Averaged measured concentration, ppm
%          Zero value indicates no data available
% SsnDtr - Averaged measured value with fitted seasonal cycle removed
% Fit    - Average determined from curve fit
% FitDtr - Average from curve fit with seasonal cycle removed
% Num    - Number of averages used in the monthly mean calculation
%
%    Date      Value     SsnDtr        Fit     FitDtr  Num
1991.0411     0.0000     0.0000   -50.3102   -65.2987    0
1991.1260     0.0000     0.0000   -38.7358   -65.9766    0
1991.2027     0.0000     0.0000   -37.5589   -66.5890    0
1991.2877     0.0000     0.0000   -45.1858   -67.2669    0
1991.3699     0.0000     0.0000   -56.6639   -67.9230    0
1991.4548     0.0000     0.0000   -68.3721   -68.6010    0
1991.5370     0.0000     0.0000   -78.4906   -69.2570    0
1991.6219     0.0000     0.0000   -88.2684   -69.9350    0
1991.7068     0.0000     0.0000   -96.1842   -70.6130    0
1991.7890     0.0000     0.0000   -98.3122   -71.2690    0
1991.8740   -94.7794   -75.5560   -91.1704   -71.9470    1
1991.9562   -71.8906   -68.4526   -76.0426   -72.6046    1
1992.0410   -59.6769   -74.6434   -58.3232   -73.2897    1
1992.1257     0.0000     0.0000   -46.7701   -73.9820    0
1992.2049     0.0000     0.0000   -45.6858   -74.6384    0
1992.2896     0.0000     0.0000   -53.5012   -75.3512    0
1992.3716     0.0000     0.0000   -65.0290   -76.0535    0
1992.4563     0.0000     0.0000   -76.7461   -76.7940    0
1992.5383     0.0000     0.0000   -86.9000   -77.5266    0
1992.6230     0.0000     0.0000   -96.7402   -78.3018    0
1992.7077     0.0000     0.0000  -104.7164   -79.0972    0
1992.7896     0.0000     0.0000  -106.9125   -79.8881    0
1992.8743  -101.6397   -82.4683   -99.9002   -80.7287    1
1992.9563   -81.0185   -77.6069   -84.9787   -81.5671    1
1993.0411   -60.8318   -75.8203   -67.4758   -82.4642    1
1993.1260     0.0000     0.0000   -56.1510   -83.3918    0
1993.2027     0.0000     0.0000   -55.2156   -84.2456    0
1993.2877   -64.0794   -86.1605   -63.1112   -85.1923    1
1993.3699   -79.5904   -90.8496   -74.8347   -86.0938    1
1993.4548   -90.0789   -90.3078   -86.7668   -86.9957    1
1993.5370   -97.2752   -88.0416   -97.0673   -87.8337    1
1993.6219  -108.1687   -89.8352  -106.9979   -88.6644    1
1993.7068  -116.0235   -90.4523  -115.0335   -89.4622    1
1993.7890  -114.7420   -87.6989  -117.2509   -90.2077    1
1993.8740  -113.2547   -94.0313  -110.1804   -90.9570    2
1993.9562   -93.4476   -90.0095   -95.1093   -91.6712    2
1994.0411   -72.9689   -87.9574   -77.4258   -92.4143    2
1994.1260   -69.6526   -96.8933   -65.9246   -93.1654    2
1994.2027   -62.7350   -91.7651   -64.8086   -93.8386    2
1994.2877   -60.5905   -82.6715   -72.4906   -94.5717    1
1994.3699   -76.5842   -87.8434   -84.0015   -95.2606    1
1994.4548  -101.9223  -102.1512   -95.6943   -95.9232    1
1994.5370  -120.1401  -110.9065  -105.7109   -96.4773    1
1994.6219  -119.9254  -101.5919  -115.2627   -96.9293    1
1994.7068  -129.1866  -103.6154  -122.8236   -97.2524    2
1994.7890  -132.3897  -105.3466  -124.4929   -97.4498    2
1994.8740  -114.4710   -95.2476  -116.7933   -97.5699    2
1994.9562  -104.3008  -100.8627  -101.0983   -97.6603    2
1995.0411   -77.5336   -92.5220   -82.8033   -97.7918    3
1995.1260   -65.3802   -92.6210   -70.7950   -98.0357    2
1995.2027   -64.9107   -93.9408   -69.3642   -98.3943    2
1995.2877   -74.0966   -96.1776   -76.8751   -98.9562    2
1995.3699   -85.7564   -97.0156   -88.3989   -99.6581    2
1995.4548   -99.2433   -99.4722  -100.2978  -100.5267    2
1995.5370  -111.5722  -102.3386  -110.7138  -101.4802    2
1995.6219  -119.1431  -100.8097  -120.8866  -102.5532    2
1995.7068  -126.9064  -101.3351  -129.2618  -103.6905    2
1995.7890  -132.9307  -105.8876  -131.8521  -104.8090    2
1995.8740  -131.5557  -112.3323  -125.1558  -105.9325    2
1995.9562  -116.3459  -112.9078  -110.3959  -106.9578    2
1996.0410   -86.5069  -101.4734   -92.9777  -107.9442    1
1996.1257   -77.0021  -104.2140   -81.6506  -108.8625    2
1996.2049   -82.6583  -111.6109   -80.7097  -109.6623    2
1996.2896   -95.8071  -117.6571   -88.5973  -110.4473    2
1996.3716   -98.1481  -109.1726  -100.1144  -111.1389    2
1996.4563  -109.8314  -109.8793  -111.7544  -111.8024    2
1996.5383  -128.0929  -118.7195  -121.7808  -112.4074    2
1996.6230  -128.1834  -109.7451  -131.4495  -113.0111    2
1996.7077  -132.6437  -107.0245  -139.2395  -113.6203    2
1996.7896  -148.0465  -121.0221  -141.2468  -114.2224    2
1996.8743  -137.5405  -118.3690  -134.0244  -114.8530    2
1996.9563  -121.0767  -117.6651  -118.8965  -115.4849    1
1997.0411   -93.8658  -108.8542  -101.2025  -116.1909    3
1997.1260   -86.6309  -113.8717   -89.7387  -116.9795    2
1997.2027   -96.7289  -125.7590   -88.7309  -117.7609    1
1997.2877   -96.1738  -118.2549   -96.6029  -118.6840    1
1997.3699  -114.8707  -126.1298  -108.3663  -119.6255    1
1997.4548  -118.3807  -118.6096  -120.4132  -120.6421    1
1997.5370  -119.1441  -109.9106  -130.9043  -121.6708    1
1997.6219  -145.0508  -126.7174  -141.1110  -122.7775    1
1997.7068  -153.2531  -127.6818  -149.4809  -123.9096    1
1997.7890  -146.8812  -119.8380  -152.0570  -125.0138    1
1997.8740  -145.4148  -126.1914  -145.3761  -126.1528    1
1997.9562     0.0000     0.0000  -130.6747  -127.2366    0
1998.0411  -111.4986  -126.4871  -113.3302  -128.3187    1
1998.1260  -109.0453  -136.2861  -102.1007  -129.3415    1
1998.2027  -104.6873  -133.7174  -101.1707  -130.2008    2
1998.2877  -111.8969  -133.9780  -108.9982  -131.0793    2
1998.3699  -126.1313  -137.3905  -120.6073  -131.8665    2
1998.4548  -127.1461  -127.3750  -132.4116  -132.6405    2
1998.5370  -142.2897  -133.0561  -142.6169  -133.3833    2
1998.6219  -153.1543  -134.8208  -152.5010  -134.1676    1
1998.7068  -145.7811  -120.2099  -160.5605  -134.9892    1
1998.7890  -159.0576  -132.0145  -162.8699  -135.8268    2
1998.8740  -157.2821  -138.0588  -155.9462  -136.7229    2
1998.9562  -148.3120  -144.8739  -141.0338  -137.5957    1
1999.0411  -130.8056  -145.7940  -123.4934  -138.4819    3
1999.1260  -116.8122  -144.0529  -112.1183  -139.3591    1
1999.2027  -106.8953  -135.9254  -111.1472  -140.1773    2
1999.2877  -110.9857  -133.0668  -119.0750  -141.1561    2
1999.3699  -127.1654  -138.4245  -130.9422  -142.2014    2
1999.4548  -144.4812  -144.7101  -143.1495  -143.3784    2
1999.5370  -146.6926  -137.4590  -153.8292  -144.5957    2
1999.6219  -167.0717  -148.7383  -164.2482  -145.9147    2
1999.7068  -174.6284  -149.0572  -172.8344  -147.2631    1
1999.7890  -172.0885  -145.0454  -175.6108  -148.5677    2
1999.8740  -166.3400  -147.1167  -169.1054  -149.8820    2
