% Monthly averaged 12data for station PSA       
%
% /data/instrument/database_active/curves/psat.mon                                                
%
% Date   - Date of measurement
% Value  - Averaged measured concentration, ppm
%          Zero value indicates no data available
% SsnDtr - Averaged measured value with fitted seasonal cycle removed
% Fit    - Average determined from curve fit
% FitDtr - Average from curve fit with seasonal cycle removed
% Num    - Number of averages used in the monthly mean calculation
%
%    Date      Value     SsnDtr        Fit     FitDtr  Num
1996.0410     0.0000     0.0000   -85.5475  -111.8225    0
1996.1257     0.0000     0.0000   -77.4920  -113.0445    0
1996.2049     0.0000     0.0000   -82.5090  -114.1875    0
1996.2896     0.0000     0.0000   -96.0535  -115.4094    0
1996.3716     0.0000     0.0000  -110.2453  -116.5919    0
1996.4563     0.0000     0.0000  -122.6062  -117.8138    0
1996.5383     0.0000     0.0000  -133.5105  -118.9963    0
1996.6230     0.0000     0.0000  -144.9987  -120.2183    0
1996.7077  -151.1736  -118.9506  -153.6632  -121.4402    4
1996.7896  -154.2095  -123.5206  -153.3114  -122.6225    2
1996.8743  -148.7322  -132.2037  -140.3501  -123.8215    2
1996.9563  -113.8422  -119.2668  -119.5143  -124.9389    1
1997.0411   -92.2975  -118.5940   -99.7691  -126.0656    1
1997.1260   -84.3952  -119.9555   -91.6112  -127.1715    2
1997.2027  -106.9485  -138.8644   -96.2104  -128.1264    2
1997.2877  -106.9487  -126.6243  -109.4117  -129.0872    2
1997.3699  -131.9154  -138.5148  -123.3117  -129.9110    1
1997.4548  -133.8673  -129.2541  -135.2686  -130.6555    2
1997.5370  -149.5668  -135.2051  -145.6475  -131.2858    2
1997.6219  -153.6588  -128.9980  -156.5190  -131.8581    3
1997.7068  -166.6279  -134.4422  -164.5627  -132.3770    2
1997.7890  -160.0674  -129.3262  -163.5872  -132.8460    1
1997.8740  -154.4763  -137.8670  -149.9198  -133.3106    2
1997.9562  -125.1378  -130.5288  -128.3709  -133.7619    2
1998.0411  -103.5773  -129.8738  -107.9628  -134.2593    1
1998.1260   -93.8271  -129.3874   -99.2410  -134.8013    2
1998.2027  -105.5890  -137.5050  -103.4133  -135.3293    2
1998.2877  -113.5809  -133.2565  -116.2543  -135.9299    2
1998.3699  -135.6320  -142.2313  -129.8957  -136.4951    3
1998.4548  -141.2950  -136.6819  -141.6439  -137.0307    2
1998.5370  -155.0972  -140.7356  -151.8687  -137.5070    2
1998.6219  -161.4030  -136.7422  -162.6400  -137.9792    2
1998.7068  -159.0037  -126.8180  -170.6494  -138.4637    1
1998.7890  -167.9334  -137.1922  -169.7055  -138.9643    3
1998.8740  -157.8489  -141.2397  -156.1120  -139.5028    2
1998.9562  -144.8510  -150.2420  -134.6296  -140.0206    2
1999.0411  -104.2690  -130.5655  -114.2568  -140.5533    2
1999.1260  -109.4076  -144.9679  -105.5588  -141.1191    2
1999.2027  -110.2375  -142.1535  -109.7495  -141.6655    2
1999.2877  -119.7631  -139.4387  -122.6495  -142.3251    3
1999.3699  -132.7871  -139.3865  -136.4273  -143.0266    2
1999.4548  -151.6121  -146.9989  -148.4153  -143.8022    2
1999.5370  -163.2900  -148.9284  -158.9362  -144.5746    2
1999.6219  -172.2435  -147.5826  -170.0390  -145.3782    2
1999.7068  -174.9293  -142.7435  -178.3869  -146.2011    3
1999.7890  -183.6882  -152.9470  -177.7805  -147.0393    2
1999.8740  -160.3346  -143.7254  -164.5678  -147.9586    2
1999.9562  -138.5513  -143.9424  -143.5325  -148.9235    2
2000.0410  -129.3965  -155.6715  -123.7281  -150.0031    2
2000.1257  -114.3681  -149.9205  -115.5880  -151.1404    3
2000.2049  -119.4018  -151.0803  -120.5826  -152.2611    2
2000.2896  -133.3572  -152.7131  -134.1748  -153.5307    2
2000.3716  -149.9164  -156.2631  -148.4745  -154.8212    2
2000.4563  -161.6274  -156.8351  -160.9999  -156.2076    2
2000.5383  -168.7925  -154.2784  -172.1089  -157.5948    3
2000.6230  -182.8297  -158.0492  -183.8503  -159.0698    2
2000.7077  -195.7322  -163.5092  -192.7847  -160.5617    2
2000.7896  -190.0826  -159.3937  -192.6755  -161.9866    2
2000.8743  -179.0443  -162.5157  -179.9397  -163.4112    2
2000.9563  -166.5871  -172.0117  -159.2749  -164.6995    2
2001.0411  -146.0775  -172.3740  -139.6044  -165.9009    2
2001.1260  -127.6335  -163.1938  -131.4267  -166.9870    3
2001.2027  -132.4116  -164.3276  -135.9843  -167.9003    2
2001.2877     0.0000     0.0000  -149.1704  -168.8460    0
2001.3699     0.0000     0.0000  -163.0848  -169.6842    0
2001.4548     0.0000     0.0000  -175.0706  -170.4574    0
2001.5370     0.0000     0.0000  -185.4644  -171.1027    0
2001.6219     0.0000     0.0000  -196.3107  -171.6499    0
2001.7068     0.0000     0.0000  -204.2473  -172.0616    0
2001.7890  -205.8435  -175.1023  -203.0592  -172.3180    1
2001.8740  -194.6464  -178.0371  -189.0326  -172.4234    2
2001.9562  -173.6644  -179.0555  -166.9826  -172.3736    1
2002.0411  -150.3210  -176.6175  -145.9027  -172.1992    2
2002.1260  -127.2178  -162.7781  -136.4026  -171.9630    2
2002.2027  -143.8372  -175.7532  -139.8340  -171.7500    3
2002.2877  -157.6718  -177.3474  -151.8755  -171.5510    2
2002.3699  -156.7655  -163.3648  -164.8589  -171.4582    2
2002.4548  -171.1396  -166.5264  -176.1732  -171.5600    3
2002.5370  -180.2025  -165.8409  -186.2742  -171.9125    2
2002.6219  -194.0297  -169.3688  -197.2009  -172.5400    2
2002.7068  -207.4437  -175.2580  -205.5780  -173.3923    2
2002.7890  -202.7154  -171.9742  -205.1179  -174.3767    2
2002.8740  -196.9423  -180.3330  -192.1097  -175.5005    2
2002.9562  -176.9916  -182.3826  -171.2507  -176.6417    2
2003.0411  -147.9919  -174.2884  -151.5472  -177.8437    2
2003.1260  -143.7101  -179.2704  -143.4914  -179.0517    2
2003.2027  -154.7418  -186.6578  -148.2149  -180.1309    2
2003.2877  -159.8356  -179.5112  -161.6273  -181.3029    3
2003.3699  -181.2724  -187.8717  -175.8288  -182.4282    2
2003.4548  -182.1264  -177.5132  -188.2123  -183.5992    2
2003.5370  -194.0269  -179.6652  -199.1299  -184.7682    2
2003.6219  -209.7169  -185.0560  -210.6819  -186.0211    2
2003.7068  -219.3241  -187.1384  -219.4791  -187.2934    1
2003.7890  -216.5077  -185.7665  -219.2482  -188.5070    3
2003.8740  -212.1976  -195.5884  -206.3101  -189.7009    1
2003.9562  -194.3269  -199.7179  -185.3503  -190.7414    2
2004.0410  -169.7003  -195.9753  -165.3796  -191.6546    2
2004.1257  -154.0261  -189.5785  -156.8675  -192.4199    2
2004.2049  -163.8614  -195.5399  -161.3565  -193.0350    2
2004.2896  -173.1221  -192.4780  -174.2569  -193.6128    1
2004.3716  -184.6417  -190.9884  -187.7857  -194.1324    2
2004.4563  -198.2837  -193.4914  -199.4532  -194.6609    2
2004.5383  -208.2778  -193.7637  -209.6865  -195.1724    2
2004.6230  -225.2020  -200.4215  -220.4854  -195.7050    3
2004.7077  -226.7763  -194.5533  -228.4769  -196.2539    2
2004.7896  -225.1905  -194.5016  -227.5271  -196.8382    2
2004.8743  -203.9088  -187.3803  -214.0557  -197.5271    3
2004.9563  -200.0901  -205.5147  -192.8553  -198.2799    2
2005.0411  -171.7429  -198.0394  -172.7954  -199.0919    2
2005.1260  -165.4025  -200.9628  -164.3202  -199.8805    2
2005.2027  -164.3872  -196.3032  -168.6176  -200.5336    2
2005.2877  -190.6274  -210.3029  -181.4788  -201.1544    1
2005.3699  -207.4315  -214.0309  -195.0084  -201.6078    2
2005.4548  -197.5113  -192.8981  -206.5214  -201.9082    1
2005.5370  -218.0751  -203.7134  -216.4264  -202.0647    3
2005.6219  -233.2520  -208.5912  -226.7832  -202.1224    2
2005.7068  -235.7704  -203.5847  -234.3110  -202.1253    2
2005.7890  -236.2777  -205.5365  -232.8851  -202.1439    2
2005.8740  -205.2888  -188.6796  -218.8900  -202.2808    2
2005.9562  -181.0073  -186.3983  -197.2483  -202.6394    2
2006.0411  -173.2623  -199.5588  -177.0091  -203.3056    1
2006.1260  -168.5257  -204.0860  -168.6626  -204.2229    2
2006.2027  -178.0621  -209.9781  -173.2659  -205.1819    3
2006.2877  -193.5508  -213.2264  -186.6281  -206.3037    3
2006.3699  -198.8639  -205.4633  -200.8017  -207.4011    1
2006.4548  -210.8459  -206.2328  -213.1548  -208.5416    3
2006.5370  -223.4446  -209.0829  -224.0160  -209.6543    2
2006.6219  -238.4155  -213.7547  -235.4619  -210.8010    2
2006.7068  -248.0431  -215.8574  -244.1200  -211.9343    1
2006.7890  -237.2459  -206.5047  -243.7657  -213.0245    1
2006.8740  -229.9572  -213.3480  -230.7625  -214.1533    1
2006.9562  -209.6740  -215.0651  -209.8527  -215.2437    3
2007.0411  -191.0795  -217.3760  -190.0587  -216.3552    2
2007.1260  -182.7674  -218.3277  -181.8770  -217.4373    2
2007.2027  -188.8134  -220.7294  -186.4696  -218.3856    2
2007.2877  -199.5467  -219.2223  -199.7298  -219.4053    2
2007.3699  -215.4967  -222.0960  -213.7781  -220.3775    2
2007.4548  -223.8399  -219.2267  -226.0064  -221.3932    2
2007.5370  -232.9400  -218.5783  -236.7770  -222.4153    2
2007.6219  -243.7927  -219.1318  -248.1849  -223.5241    3
2007.7068  -270.2639  -238.0782  -256.8566  -224.6709    1
2007.7890  -255.7158  -224.9746  -256.5240  -225.7828    2
2007.8740  -245.0709  -228.4616  -243.5224  -226.9131    3
2007.9562  -219.5028  -224.8938  -222.5846  -227.9757    2
2008.0410  -207.9262  -234.2013  -202.7600  -229.0350    2
2008.1257  -184.4630  -220.0154  -194.5017  -230.0541    1
2008.2049  -199.3028  -230.9813  -199.3031  -230.9816    2
2008.2896  -215.1101  -234.4660  -212.5798  -231.9357    2
2008.3716  -223.6729  -230.0196  -226.4604  -232.8070    3
2008.4563  -240.0575  -235.2652  -238.4386  -233.6463    2
2008.5383  -255.8441  -241.3300  -248.8910  -234.3769    2
2008.6230  -269.9647  -245.1843  -259.8087  -235.0282    2
2008.7077  -266.6497  -234.4267  -267.8248  -235.6018    4
2008.7896  -261.3635  -230.6746  -266.8561  -236.1672    2
2008.8743  -237.7567  -221.2282  -253.3810  -236.8525    2
2008.9563  -232.2137  -237.6382  -232.2324  -237.6569    2
2009.0411  -217.0139  -243.3104  -212.3118  -238.6083    2
2009.1260  -206.4208  -241.9811  -204.0611  -239.6215    2
2009.2027  -209.1259  -241.0419  -208.6470  -240.5630    2
2009.2877  -225.5973  -245.2729  -221.9450  -241.6206    2
2009.3699  -234.0387  -240.6380  -236.0495  -242.6489    2
2009.4548  -250.0377  -245.4245  -248.3347  -243.7216    2
2009.5370  -257.2190  -242.8574  -259.1371  -244.7754    2
2009.6219  -270.6457  -245.9849  -270.5484  -245.8876    2
2009.7068  -276.6746  -244.4888  -279.2073  -247.0216    2
2009.7890  -281.7829  -251.0417  -278.8717  -248.1305    1
2009.8740  -267.8508  -251.2416  -265.8798  -249.2706    2
2009.9562  -242.5658  -247.9568  -244.9714  -250.3625    2
2010.0411  -227.8085  -254.1050  -225.1872  -251.4837    2
2010.1260  -218.4698  -254.0302  -217.0399  -252.6002    2
2010.2027  -217.5459  -249.4618  -221.6956  -253.6116    2
2010.2877  -238.4433  -258.1188  -235.0624  -254.7380    2
2010.3699  -247.1724  -253.7718  -249.2304  -255.8298    2
2010.4548  -253.7128  -249.0996  -261.5780  -256.9648    1
2010.5370  -275.9763  -261.6146  -272.4270  -258.0654    2
2010.6219  -286.2513  -261.5905  -283.8504  -259.1895    2
2010.7068  -289.5161  -257.3304  -292.4823  -260.2966    2
2010.7890  -289.6424  -258.9012  -292.0962  -261.3550    2
2010.8740  -274.1157  -257.5065  -279.0349  -262.4257    2
2010.9562  -267.4128  -272.8038  -258.0277  -263.4187    2
2011.0411  -238.9367  -265.2332  -238.0702  -264.3667    2
2011.1260  -228.9432  -264.5035  -229.6715  -265.2318    2
2011.2027  -236.0120  -267.9280  -234.0293  -265.9453    2
2011.2877  -247.9857  -267.6613  -246.9934  -266.6690    2
2011.3699  -261.1543  -267.7537  -260.7250  -267.3244    2
2011.4548  -272.4215  -267.8083  -272.5981  -267.9850    2
2011.5370  -282.0768  -267.7151  -282.9994  -268.6377    2
2011.6219  -293.1952  -268.5344  -294.0163  -269.3554    2
2011.7068  -303.8602  -271.6745  -302.3238  -270.1381    2
2011.7890  -298.6213  -267.8801  -301.7196  -270.9784    2
2011.8740  -292.1024  -275.4932  -288.5624  -271.9532    2
2011.9562  -261.9140  -267.3051  -267.6219  -273.0130    2
2012.0410  -244.4779  -270.7529  -247.9695  -274.2445    2
2012.1257  -237.6341  -273.1865  -240.0583  -275.6107    2
2012.2049  -241.1717  -272.8502  -245.3100  -276.9885    2
2012.2896  -259.8287  -279.1846  -259.1538  -278.5097    2
2012.3716  -272.0091  -278.3558  -273.6113  -279.9580    2
2012.4563  -292.1956  -287.4032  -286.1439  -281.3516    2
2012.5383  -306.8019  -292.2878  -297.0415  -282.5274    2
2012.6230  -313.9811  -289.2007  -308.3058  -283.5253    2
2012.7077  -317.4121  -285.1891  -316.5462  -284.3232    2
2012.7896  -312.2061  -281.5172  -315.6533  -284.9644    2
2012.8743  -298.8031  -282.2746  -302.0790  -285.5504    2
2012.9563  -290.8147  -296.2393  -280.6595  -286.0841    1
2013.0411  -258.3167  -284.6132  -260.3389  -286.6354    2
2013.1260  -247.9233  -283.4837  -251.6719  -287.2322    2
2013.2027  -255.5929  -287.5089  -255.9254  -287.8414    3
2013.2877  -265.2697  -284.9453  -268.9472  -288.6227    1
2013.3699  -283.2154  -289.8147  -282.9041  -289.5034    2
2013.4548  -294.2287  -289.6156  -295.1564  -290.5432    2
2013.5370  -306.4959  -292.1343  -306.0356  -291.6739    2
2013.6219  -313.0957  -288.4349  -317.6296  -292.9687    2
2013.7068  -322.7835  -290.5978  -326.5719  -294.3862    2
2013.7890  -319.5758  -288.8346  -326.5797  -295.8385    2
2013.8740  -324.2835  -307.6742  -313.9659  -297.3567    1
2013.9562  -299.9187  -305.3097  -293.3686  -298.7597    3
2014.0411  -275.8611  -302.1575  -273.7788  -300.0753    2
2014.1260  -268.4313  -303.9916  -265.6760  -301.2364    3
2014.2027  -267.1195  -299.0355  -270.2484  -302.1644    1
2014.2877  -287.6531  -307.3287  -283.4135  -303.0891    1
2014.3699  -298.7006  -305.2999  -297.3158  -303.9152    2
2014.4548  -304.4372  -299.8240  -309.3574  -304.7442    2
2014.5370  -318.6294  -304.2678  -319.9292  -305.5675    2
2014.6219  -325.4783  -300.8175  -331.1268  -306.4660    1
2014.7068  -339.4554  -307.2697  -339.6068  -307.4211    1
2014.7890  -334.1975  -303.4563  -339.1329  -308.3917    2
2014.8740  -332.0021  -315.3928  -326.0270  -309.4177    2
2014.9562  -306.1858  -311.5769  -305.0049  -310.3960    2
2015.0411  -286.6952  -312.9917  -285.0794  -311.3759    1
2015.1260  -278.6844  -314.2447  -276.7648  -312.3251    2
2015.2027  -279.0330  -310.9490  -281.2545  -313.1705    2
2015.2877  -292.8549  -312.5305  -294.4394  -314.1150    3
2015.3699  -303.0704  -309.6698  -308.4541  -315.0534    2
2015.4548  -321.9902  -317.3770  -320.6659  -316.0527    1
2015.5370  -332.7902  -318.4285  -331.3826  -317.0210    2
2015.6219  -349.4874  -324.8265  -342.6413  -317.9804    3
2015.7068  -348.3744  -316.1887  -351.0551  -318.8694    1
2015.7890  -351.5228  -320.7816  -350.4192  -319.6780    2
2015.8740  -337.6364  -321.0271  -337.1038  -320.4946    1
2015.9562  -312.9630  -318.3541  -315.9130  -321.3041    2
2016.0410  -293.8437  -320.1188  -295.9251  -322.2001    2
2016.1257  -282.6781  -318.2305  -287.6356  -323.1880    2
2016.2049  -293.9756  -325.6541  -292.5288  -324.2073    3
2016.2896  -314.3578  -333.7137  -306.0167  -325.3726    1
2016.3716  -317.6556  -324.0023  -320.2062  -326.5528    2
2016.4563  -327.0967  -322.3044  -332.6245  -327.8322    1
2016.5383  -332.8489  -318.3348  -343.6395  -329.1254    1
2016.6230  -360.1505  -335.3700  -355.2678  -330.4873    2
2016.7077  -372.5673  -340.3443  -364.0425  -331.8195    1
2016.7896  -361.6390  -330.9501  -363.7325  -333.0436    2
2016.8743  -354.0410  -337.5125  -350.7642  -334.2356    2
2016.9563  -332.8755  -338.3001  -329.9007  -335.3253    1
2017.0411  -311.5045  -337.8010  -310.0998  -336.3963    3
2017.1260  -295.3721  -330.9324  -301.8892  -337.4495    1
2017.2027  -306.1187  -338.0347  -306.5115  -338.4275    2
2017.2877  -315.4343  -335.1099  -319.8838  -339.5594    2
2017.3699  -331.3662  -337.9656  -334.1094  -340.7088    2
2017.4548  -345.7585  -341.1453  -346.5467  -341.9335    2
2017.5370  -359.8981  -345.5364  -357.4829  -343.1213    3
2017.6219  -366.8620  -342.2011  -368.9762  -344.3153    1
2017.7068  -376.0687  -343.8829  -377.6366  -345.4509    2
2017.7890  -383.6615  -352.9202  -377.2119  -346.4707    2
2017.8740  -364.8040  -348.1948  -364.0291  -347.4199    2
2017.9562  -343.4855  -348.8765  -342.8586  -348.2496    3
2018.0411  -328.0053  -354.3018  -322.7342  -349.0307    2
2018.1260  -306.0160  -341.5763  -314.2072  -349.7675    2
2018.2027  -318.5479  -350.4639  -318.5131  -350.4291    2
2018.2877  -331.2764  -350.9520  -331.4808  -351.1563    2
2018.3699     0.0000     0.0000  -345.2574  -351.8568    0
2018.4548     0.0000     0.0000  -357.1938  -352.5806    0
2018.5370     0.0000     0.0000  -367.6427  -353.2811    0
2018.6219     0.0000     0.0000  -378.6657  -354.0049    0
2018.7068     0.0000     0.0000  -386.9144  -354.7287    0
2018.7890     0.0000     0.0000  -386.1703  -355.4291    0
2018.8740     0.0000     0.0000  -372.7621  -356.1529    0
2018.9562     0.0000     0.0000  -351.4623  -356.8534    0
