% Monthly averaged 12data for station CGO       
%
% /data/instrument/database_active/curves/cgot.mon                                                
%
% Date   - Date of measurement
% Value  - Averaged measured concentration, ppm
%          Zero value indicates no data available
% SsnDtr - Averaged measured value with fitted seasonal cycle removed
% Fit    - Average determined from curve fit
% FitDtr - Average from curve fit with seasonal cycle removed
% Num    - Number of averages used in the monthly mean calculation
%
%    Date      Value     SsnDtr        Fit     FitDtr  Num
1991.0411   -59.9906   -84.8108   -47.7381   -72.5583    1
1991.1260     0.0000     0.0000   -41.9285   -72.4798    0
1991.2027   -44.6058   -71.0519   -45.9849   -72.4309    1
1991.2877   -44.9689   -61.4765   -55.9278   -72.4353    1
1991.3699   -64.3888   -70.6099   -66.3048   -72.5259    1
1991.4548   -75.3305   -71.5815   -76.4617   -72.7127    2
1991.5370   -83.9969   -70.0900   -86.8846   -72.9777    2
1991.6219  -100.0346   -75.6037   -97.7582   -73.3273    2
1991.7068  -113.7316   -83.2550  -104.2103   -73.7337    2
1991.7890     0.0000     0.0000  -100.8634   -74.1699    0
1991.8740   -97.6999   -86.0728   -86.3151   -74.6880    1
1991.9562   -65.5875   -73.8446   -67.0382   -75.2953    1
1992.0410   -41.8773   -66.6819   -51.2893   -76.0940    3
1992.1257   -31.0648   -61.6170   -46.5738   -77.1259    1
1992.2049   -47.6911   -73.9284   -52.0645   -78.3019    3
1992.2896   -64.4469   -80.7052   -63.4628   -79.7212    2
1992.3716   -77.3691   -83.3836   -75.1475   -81.1621    2
1992.4563   -90.8043   -86.8792   -86.5478   -82.6227    1
1992.5383  -100.5096   -86.4400   -98.0021   -83.9324    2
1992.6230  -112.7674   -88.2235  -109.6607   -85.1168    2
1992.7077  -123.7973   -93.3050  -116.5805   -86.0882    2
1992.7896  -129.6488  -103.0220  -113.4304   -86.8036    1
1992.8743  -104.2302   -92.6814   -98.8660   -87.3172    2
1992.9563   -87.0916   -95.3771   -79.3560   -87.6415    1
1993.0411   -54.4854   -79.3056   -63.0616   -87.8818    2
1993.1260   -47.8642   -78.4156   -57.5650   -88.1163    2
1993.2027   -63.0482   -89.4942   -61.9255   -88.3716    2
1993.2877   -71.8836   -88.3912   -72.2085   -88.7161    3
1993.3699   -85.5608   -91.7818   -82.8916   -89.1127    2
1993.4548   -91.4276   -87.6786   -93.3470   -89.5980    2
